lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Apache,,Apach,ADJ.,1451,0,0,
Apotheke,,Apothek,ADJ.,10375,0,0,
Appellative,,Appellativ,ADJ.,2,0,0,
Archäologe,,Archäolog,ADJ.,1890,0,0,
Archäologe,,archaolog,ADJ.,1890,0,0,
Argumentationsschiene,,Argumentationsschien,ADJ.,15,0,0,
Arkade,,Arkad,ADJ.,474,0,0,
Armee,,Arme,ADJ.,17206,0,0,
Ärmste,,ärmst,ADJ.,804,0,0,
Ärmste,,armst,ADJ.,804,0,0,
Arnulfstraße,,Arnulfstraß,ADJ.,26,0,0,
Arthrose,,Arthros,ADJ.,1799,0,0,
Asche,,Asch,ADJ.,4713,0,0,
Ase,,As,ADJ.,276,0,0,
Asiate,,Asiat,ADJ.,1099,0,0,
Askese,,Askes,ADJ.,472,0,0,
Assassine,,Assassin,ADJ.,441,0,0,
Atmosphäre,,Atmosphär,ADJ.,25755,0,0,
Atmosphäre,,atmosphar,ADJ.,25755,0,0,
Attacke,,Attack,ADJ.,5725,0,0,
Aue,,Au,ADJ.,2735,0,0,
Aufgabe,,Aufgeb,ADJ.,107710,0,0,
Aufnahme,,Aufnahm,ADJ.,39133,0,0,
Auge,,Aug,ADJ.,132671,0,0,
Ausbeute,,Ausbeut,ADJ.,1344,0,0,
Ausdrucksweise,,Ausdrucksweis,ADJ.,1352,0,0,
Ausgabe,,Ausgeb,ADJ.,51208,0,0,
Aushilfe,,Aushilf,ADJ.,728,0,0,
Ausnahme,,Ausnahm,ADJ.,30947,0,0,
Ausrede,,Ausred,ADJ.,4015,0,0,
Ausreise,,Ausreis,ADJ.,1210,0,0,
Aussätzige,,Aussätzig,ADJ.,303,0,0,
Aussätzige,,aussatzig,ADJ.,303,0,0,
Außerirdische,,Außerirdisch,ADJ.,1575,0,0,
Aussprache,,Aussprech,ADJ.,3250,0,0,
Auszubildende,,Auszubildend,ADJ.,6587,0,0,
autonom,,Autono,ADJ.,0,0,0,
Avantgarde,,Avantgard,ADJ.,1432,0,0,
Back,,Bac,ADJ.,2710,0,0,
Backware,,Backwar,ADJ.,908,0,0,
Badende,,Badend,ADJ.,158,0,0,
Baguette,,Baguett,ADJ.,771,0,0,
Balance,,Balanc,ADJ.,5626,0,0,
Ballade,,Ballad,ADJ.,2762,0,0,
Ballette,,Ballett,ADJ.,99,0,0,
Banane,,Banan,ADJ.,4409,0,0,
Banderole,,Banderol,ADJ.,137,0,0,
Barriere,,Barrier,ADJ.,3097,0,0,
Barrikade,,Barrikad,ADJ.,865,0,0,
Base,,Bas,ADJ.,5493,0,0,
basiert,,Basier,ADJ.,0,0,0,
Baumwolle,,Baumwoll,ADJ.,3180,0,0,
Baustelle,,Baustell,ADJ.,9260,0,0,
Bauweise,,Bauweis,ADJ.,3515,0,0,
Beamte,,Beamt,ADJ.,3,0,0,
beauftragt,,Beauftrag,ADJ.,0,0,0,
Beauftragte,,Beauftragt,ADJ.,2635,0,0,
Bedachte,,Bedacht,ADJ.,60,0,0,
Bedingte,,Bedingt,ADJ.,12,0,0,
Bedürftige,,Bedürftig,ADJ.,1263,0,0,
Bedürftige,,bedurftig,ADJ.,1263,0,0,
Beere,,Beer,ADJ.,2477,0,0,
Befragte,,Befragt,ADJ.,6083,0,0,
begeistert,,Begeister,ADJ.,0,0,0,
Begierde,,Begierd,ADJ.,1836,0,0,
behindert,,Behinder,ADJ.,0,0,0,
Behinderte,,Behindert,ADJ.,4289,0,0,
Behörde,,Behörd,ADJ.,30329,0,0,
Behörde,,behord,ADJ.,30329,0,0,
Beichte,,Beicht,ADJ.,1074,0,0,
Beihilfe,,Beihilf,ADJ.,2206,0,0,
Beiname,,Beinam,ADJ.,1013,0,0,
Bekannte,,Bekannt,ADJ.,18963,0,0,
Bekanntgabe,,Bekanntgeb,ADJ.,2314,0,0,
Beklagte,,Beklagt,ADJ.,23344,0,0,
berechtigt,,Berechtig,ADJ.,0,0,0,
Berlinale,,Berlinal,ADJ.,1363,0,0,
Berlinische,,Berlinisch,ADJ.,165,0,0,
Berufsschule,,Berufsschul,ADJ.,2717,0,0,
Beschäftigte,,Beschäftigt,ADJ.,16251,0,0,
Beschäftigte,,beschaftigt,ADJ.,16251,0,0,
Bescheidene,,Bescheiden,ADJ.,28,0,0,
Beschenkte,,Beschenkt,ADJ.,1042,0,0,
Beschuldigte,,Beschuldigt,ADJ.,2516,0,0,
Beschwerde,,Beschwerd,ADJ.,23393,0,0,
Besondere,,Besonder,ADJ.,11016,0,0,
Besserverdienende,,Besserverdienend,ADJ.,356,0,0,
Beste,,Best,ADJ.,27576,0,0,
Bestimmte,,Bestimmt,ADJ.,415,0,0,
Beteiligte,,Beteiligt,ADJ.,18868,0,0,
Betreute,,Betreut,ADJ.,561,0,0,
Betroffene,,Betroffen,ADJ.,28921,0,0,
Beule,,Beul,ADJ.,1521,0,0,
Beute,,Beut,ADJ.,5125,0,0,
Bezugnahme,,Bezugnahm,ADJ.,1113,0,0,
Biene,,Bien,ADJ.,6899,0,0,
Bike,,Bik,ADJ.,5833,0,0,
Binde,,Bind,ADJ.,1150,0,0,
Binnenkolonne,,Binnenkolonn,ADJ.,0,0,0,
Biologe,,Biolog,ADJ.,1918,0,0,
Birne,,Birn,ADJ.,4711,0,0,
Bitte,,Bitt,ADJ.,11881,0,0,
Blase,,Blas,ADJ.,5024,0,0,
blau,,Bla,ADJ.,0,0,0,
Bleibe,,Bleib,ADJ.,1510,0,0,
Blende,,Blend,ADJ.,3873,0,0,
blind,,Blin,ADJ.,0,0,0,
Blindschleiche,,Blindschleich,ADJ.,196,0,0,
Blockade,,Blockad,ADJ.,4732,0,0,
Blonde,,Blond,ADJ.,840,0,0,
Blondine,,Blondin,ADJ.,2089,0,0,
Blume,,Blum,ADJ.,14486,0,0,
Blüte,,Blüt,ADJ.,13138,0,0,
Blüte,,blut,ADJ.,13138,0,0,
Blutspenderinne,,Blutspenderinn,ADJ.,13,0,0,
Böe,,Bö,ADJ.,134,0,0,
Böe,,bo,ADJ.,134,0,0,
Bohle,,Bohl,ADJ.,2524,0,0,
Bohne,,Bohn,ADJ.,3394,0,0,
Bombe,,Bomb,ADJ.,7070,0,0,
Börse,,Börs,ADJ.,9140,0,0,
Börse,,bors,ADJ.,9140,0,0,
Borste,,Borst,ADJ.,382,0,0,
Borte,,Bort,ADJ.,241,0,0,
Borusse,,Boruss,ADJ.,543,0,0,
Böse,,Bös,ADJ.,12019,0,0,
Böse,,bos,ADJ.,12019,0,0,
Bote,,Bot,ADJ.,3507,0,0,
Branche,,Branch,ADJ.,22169,0,0,
Braue,,Brau,ADJ.,816,0,0,
Bremse,,Brems,ADJ.,7970,0,0,
Brennstoffzelle,,Brennstoffzell,ADJ.,1333,0,0,
Bresche,,Bresch,ADJ.,544,0,0,
Bridge,,Bridg,ADJ.,2507,0,0,
Briefmarke,,Briefmark,ADJ.,2138,0,0,
Brigantine,,Brigantin,ADJ.,15,0,0,
Brille,,Brill,ADJ.,9388,0,0,
Brise,,Bris,ADJ.,903,0,0,
Brite,,Brit,ADJ.,5096,0,0,
Brombachsee,,Brombachse,ADJ.,609,0,0,
Bronze,,Bronz,ADJ.,4203,0,0,
Brosche,,Brosch,ADJ.,390,0,0,
Broschüre,,Broschür,ADJ.,10435,0,0,
Broschüre,,broschur,ADJ.,10435,0,0,
Brücke,,Brück,ADJ.,23963,0,0,
Brücke,,bruck,ADJ.,23963,0,0,
Bube,,Bub,ADJ.,2316,0,0,
Buche,,Buch,ADJ.,5606,0,0,
Buchse,,Buchs,ADJ.,2033,0,0,
Buchstabe,,Buchstab,ADJ.,13896,0,0,
Bude,,Bud,ADJ.,3382,0,0,
Buhle,,Buhl,ADJ.,12,0,0,
Bühne,,Bühn,ADJ.,35035,0,0,
Bühne,,buhn,ADJ.,35035,0,0,
Bullauge,,Bullaug,ADJ.,211,0,0,
Bulldogge,,Bulldogg,ADJ.,387,0,0,
Bulle,,Bull,ADJ.,3420,0,0,
Bürde,,Bürd,ADJ.,632,0,0,
Bürde,,burd,ADJ.,632,0,0,
Burjate,,Burjat,ADJ.,23,0,0,
Bursche,,Bursch,ADJ.,2558,0,0,
Byte,,Byt,ADJ.,2689,0,0,
Cache,,Cach,ADJ.,3345,0,0,
Cafe,,Caf,ADJ.,916,0,0,
Chance,,Chanc,ADJ.,94281,0,0,
Charge,,Charg,ADJ.,1206,0,0,
Charme,,Charm,ADJ.,7026,0,0,
Chaussee,,Chausse,ADJ.,617,0,0,
Chinese,,Chines,ADJ.,5936,0,0,
Chose,,Chos,ADJ.,309,0,0,
christlich,,Christlic,ADJ.,0,0,0,
Cleane,,Clean,ADJ.,336,0,0,
Clone,,Clon,ADJ.,928,0,0,
Code,,Cod,ADJ.,26199,0,0,
College,,Colleg,ADJ.,3305,0,0,
Contenance,,Contenanc,ADJ.,162,0,0,
Cousine,,Cousin,ADJ.,1690,0,0,
Cuisine,,Cuisin,ADJ.,318,0,0,
Dame,,Dam,ADJ.,38844,0,0,
Date,,Dat,ADJ.,3506,0,0,
Daune,,Daun,ADJ.,291,0,0,
Debatte,,Debatt,ADJ.,17670,0,0,
Decke,,Deck,ADJ.,14710,0,0,
Defekte,,Defekt,ADJ.,1485,0,0,
Delegierte,,Delegiert,ADJ.,3915,0,0,
Delle,,Dell,ADJ.,1203,0,0,
Desinteresse,,Desinteress,ADJ.,1063,0,0,
deutsch,,Deutsc,ADJ.,24818,0,0,
Deutsche,,Deutsch,ADJ.,44362,0,0,
Deutschsprachige,,Deutschsprechig,ADJ.,79,0,0,
Device,,Devic,ADJ.,1353,0,0,
Devise,,Devis,ADJ.,3778,0,0,
Diagnose,,Diagnos,ADJ.,14231,0,0,
Diarrhoe,,Diarrho,ADJ.,114,0,0,
Diele,,Diel,ADJ.,1060,0,0,
Digitale,,Digital,ADJ.,359,0,0,
Diözese,,Diözes,ADJ.,2858,0,0,
Diözese,,diozes,ADJ.,2858,0,0,
Diskette,,Diskett,ADJ.,2026,0,0,
Doppelte,,Doppelt,ADJ.,1277,0,0,
Dose,,Dos,ADJ.,8922,0,0,
Dosis,,Dosi,ADJ.,8296,0,0,
Drache,,Drach,ADJ.,9550,0,0,
Drachme,,Drachm,ADJ.,218,0,0,
Dragee,,Drage,ADJ.,166,0,0,
Dreingabe,,Dreingeb,ADJ.,188,0,0,
Dritte,,Dritt,ADJ.,24160,0,0,
Drittrolle,,Drittroll,ADJ.,0,0,0,
Drive,,Driv,ADJ.,3082,0,0,
Droge,,Drog,ADJ.,12035,0,0,
Drüse,,Drüs,ADJ.,728,0,0,
Drüse,,drus,ADJ.,728,0,0,
Duestere,,Duester,ADJ.,1,0,0,
Düne,,Dün,ADJ.,2314,0,0,
Düne,,dun,ADJ.,2314,0,0,
Durchlebte,,Durchlebt,ADJ.,3,0,0,
Dusche,,Dusch,ADJ.,12276,0,0,
Düse,,Düs,ADJ.,2694,0,0,
Düse,,dus,ADJ.,2694,0,0,
Ebbe,,Ebb,ADJ.,1076,0,0,
Echse,,Echs,ADJ.,1236,0,0,
Ecke,,Eck,ADJ.,36470,0,0,
Edle,,Edl,ADJ.,600,0,0,
Egge,,Egg,ADJ.,295,0,0,
Ehe,,Eh,ADJ.,17761,0,0,
Ehre,,Ehr,ADJ.,17357,0,0,
Ehrenamtliche,,Ehrenamtlich,ADJ.,2068,0,0,
Eiche,,Eich,ADJ.,4110,0,0,
Eigene,,Eigen,ADJ.,1081,0,0,
Eile,,Eil,ADJ.,2214,0,0,
Einäugige,,Einäugig,ADJ.,118,0,0,
Einäugige,,einaugig,ADJ.,118,1,0,
Einbuße,,Einbuß,ADJ.,1526,0,0,
Eine,,Ein,ADJ.,5936,0,0,
Einflussnahme,,Einflussnahm,ADJ.,1756,0,0,
Eingabe,,Eingeb,ADJ.,10200,0,0,
Eingeborene,,Eingeboren,ADJ.,971,0,0,
Einheimische,,Einheimisch,ADJ.,4945,0,0,
Einnahme,,Einnahm,ADJ.,17657,0,0,
Einsichtige,,Einsichtig,ADJ.,38,0,0,
Einsprache,,Einsprech,ADJ.,532,0,0,
Einzelne,,Einzeln,ADJ.,12459,0,0,
Einzige,,Einzig,ADJ.,4372,0,0,
Eizelle,,Eizell,ADJ.,1196,0,0,
Elfe,,Elf,ADJ.,3245,0,0,
Elfenbeinküste,,Elfenbeinküst,ADJ.,616,0,0,
Elfenbeinküste,,elfenbeinkust,ADJ.,616,0,0,
Elite,,Elit,ADJ.,7698,0,0,
Elle,,Ell,ADJ.,1020,0,0,
Emanze,,Emanz,ADJ.,175,0,0,
Empore,,Empor,ADJ.,868,0,0,
Ende,,End,ADJ.,244783,0,0,
eng,,En,ADJ.,0,0,0,
Englische,,Englisch,ADJ.,3740,0,0,
Enklave,,Enklav,ADJ.,443,0,0,
Ensemble,,Ensembl,ADJ.,7813,0,0,
Ente,,Ent,ADJ.,4280,0,0,
Entnahme,,Entnahm,ADJ.,1578,0,0,
Entsetzliche,,Entsetzlich,ADJ.,72,0,0,
Entstellte,,Entstellt,ADJ.,7,0,0,
Entwicklungshilfe,,Entwicklungshilf,ADJ.,1370,0,0,
Episode,,Episod,ADJ.,9789,0,0,
Epoche,,Epoch,ADJ.,6952,0,0,
Erbe,,Erb,ADJ.,12362,0,0,
Erdbeere,,Erdbeer,ADJ.,2691,0,0,
Erde,,Erd,ADJ.,58562,0,0,
Erhoffte,,Erhofft,ADJ.,20,0,0,
Erinnye,,Erinny,ADJ.,32,0,0,
Erlernte,,Erlernt,ADJ.,594,0,0,
