lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Unfähigkeit,,unfäh,ADJ.,2379,0,0,
Unfassbarkeit,,unfassbar,ADJ.,37,3090,1,1.0
Unfehlbarkeit,,unfehlbar,ADJ.,277,839,1,1.0
Unflätigkeit,,unflätig,ADJ.,15,185,1,1.0
Unflätigkeit,,unflät,ADJ.,15,0,0,
Unfreiheit,,unfrei,ADJ.,502,925,1,1.0
Unfreiheit,,unfreie,ADJ.,502,0,0,
Unfreundlichkeit,,unfreundlich,ADJ.,129,1965,1,1.0
Unfruchtbarkeit,,unfruchtbar,ADJ.,463,717,1,1.0
Ungeheuerlichkeit,,ungeheuerlich,ADJ.,251,924,1,1.0
Ungehörigkeit,,ungehörig,ADJ.,17,178,1,1.0
Ungehörigkeit,,ungehör,ADJ.,17,0,0,
Ungenauigkeit,,ungenau,ADJ.,870,2786,1,1.0
Ungenauigkeit,,ungenauig,ADJ.,870,0,0,
Ungerechtigkeit,,ungerecht,ADJ.,2915,4255,1,1.0
Ungerechtigkeit,,ungerechtig,ADJ.,2915,0,0,
Ungereimtheit,,ungereimt,ADJ.,1577,82,1,1.0
Ungereimtheit,,ungereimte,ADJ.,1577,0,0,
Ungeschicklichkeit,,ungeschicklich,ADJ.,116,0,0,
Ungewissheit,,ungewiss,ADJ.,1406,2842,1,1.0
Ungewissheit,,ungewisse,ADJ.,1406,0,0,
Unglaublichkeit,,unglaublich,ADJ.,26,28281,1,1.0
Ungleichheit,,ungleich,ADJ.,2462,4641,1,1.0
Ungleichheit,,ungleiche,ADJ.,2462,0,0,
Ungleichmäßigkeit,,ungleichmäßig,ADJ.,25,629,1,1.0
Ungleichmäßigkeit,,ungleichmäß,ADJ.,25,0,0,
Unhaltbarkeit,,unhaltbar,ADJ.,41,2036,1,1.0
Unhandlichkeit,,unhandlich,ADJ.,10,587,1,1.0
Unheimlichkeit,,unheimlich,ADJ.,22,9549,1,1.0
Unhöflichkeit,,unhöflich,ADJ.,332,1124,1,1.0
Uninformiertheit,,uninformiert,ADJ.,37,301,1,1.0
Uninformiertheit,,uninformierte,ADJ.,37,0,0,
Unkenntlichkeit,,unkenntlich,ADJ.,333,543,1,1.0
Unklarheit,,unklar,ADJ.,1863,10605,1,1.0
Unklarheit,,unklare,ADJ.,1863,0,0,
Unklugheit,,unklug,ADJ.,18,450,1,1.0
Unklugheit,,unkluge,ADJ.,18,0,0,
