lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Inflexibilität,,inflexibel,ADJ.,15,26,1,1.0
Inflexibilität,,inflexibil,ADJ.,15,0,0,
Instabilität,,instabil,ADJ.,1024,2237,1,1.0
Instabilität,,instabel,ADJ.,1024,0,0,
Integrität,,integr,ADJ.,1899,0,0,
Intensität,,intens,ADJ.,6069,0,0,
Intentionalität,,intentional,ADJ.,102,186,1,1.0
Intentionalität,,intentionell,ADJ.,102,4,1,
Internationalität,,international,ADJ.,647,115986,1,1.0
Internationalität,,internationell,ADJ.,647,1,1,
Intimität,,intim,ADJ.,819,3147,1,1.0
Invalidität,,invalid,ADJ.,424,0,0,
Irregularität,,irregular,ADJ.,17,0,0,
Kalamität,,kalam,ADJ.,51,0,0,
Kapazität,,kapaz,ADJ.,8568,0,0,
Kausalität,,kausal,ADJ.,937,1411,1,1.0
Kausalität,,kausell,ADJ.,937,0,0,
Kollegialität,,kollegial,ADJ.,272,1100,1,1.0
Kollegialität,,kollegiell,ADJ.,272,0,0,
Kommunität,,kommun,ADJ.,122,0,0,
Kompatibilität,,kompatibel,ADJ.,1496,6161,1,1.0
Kompatibilität,,kompatibil,ADJ.,1496,0,0,
Komplexität,,komplex,ADJ.,5331,26658,1,1.0
Konformität,,konform,ADJ.,405,1569,1,1.0
Kontinuität,,kontinu,ADJ.,3398,0,0,
Konvertibilität,,konvertibel,ADJ.,29,38,1,1.0
Konvertibilität,,konvertibil,ADJ.,29,0,0,
Kreativität,,kreativ,ADJ.,10687,23920,1,1.0
Kriminalität,,kriminell,ADJ.,3281,5998,1,1.0
Kriminalität,,kriminal,ADJ.,3281,9,1,
Kuriosität,,kurios,ADJ.,908,3274,1,1.0
Labilität,,labil,ADJ.,134,931,1,1.0
Labilität,,label,ADJ.,134,0,0,
Lebensqualität,,lebensqual,ADJ.,7671,0,0,
Lebensqualität,,lebensquell,ADJ.,7671,0,0,
Legalität,,legal,ADJ.,713,10275,1,1.0
Legalität,,legell,ADJ.,713,0,0,
Legitimität,,legitim,ADJ.,858,4762,1,1.0
Liberalität,,liberal,ADJ.,244,6890,1,1.0
Liberalität,,liberell,ADJ.,244,0,0,
