lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Silberling,,silberen,VVINF,706,0,0,
Sprössling,,sprossen,VVINF,1055,0,0,
Winzling,,winz,ADJ.,345,0,0,
Witzling,,witzen,VVINF,9,0,0,
Zögling,,zogen,VVINF,564,0,0,
Binnenflüchtling,,binnenflücht,ADJ.,34,0,0,
Binnenflüchtling,,binnenflucht,ADJ.,34,0,0,
Binnenflüchtling,,binnenfluchten,VVINF,34,0,0,
Steuerflüchtling,,steuerflücht,ADJ.,75,0,0,
Steuerflüchtling,,steuerflucht,ADJ.,75,0,0,
Steuerflüchtling,,steuerfluchten,VVINF,75,0,0,
Wirtschaftsflüchtling,,wirtschaftsflücht,ADJ.,117,0,0,
Wirtschaftsflüchtling,,wirtschaftsflucht,ADJ.,117,0,0,
Wirtschaftsflüchtling,,wirtschaftsfluchten,VVINF,117,0,0,
Mithäftling,,mithäft,ADJ.,59,0,0,
Mithäftling,,mithaft,ADJ.,59,0,0,
Mithäftling,,mithäften,VVINF,59,0,0,
Oberhäuptling,,oberhäupt,ADJ.,26,0,0,
Oberhäuptling,,oberhäupten,VVINF,26,0,0,
Oberhäuptling,,oberhaupten,VVINF,26,0,0,
Führerscheinneuling,,führerscheinneu,ADJ.,78,0,0,
Führerscheinneuling,,führerscheinneuen,VVINF,78,0,0,
Führerscheinneuling,,fuhrerscheinneuen,VVINF,78,0,0,
Frühling,,fruh,ADJ.,10603,0,0,
Frühling,,frühen,VVINF,10603,0,0,
Frühling,,fruhen,VVINF,10603,0,0,
Säugling,,säug,ADJ.,3490,0,0,
Säugling,,saug,ADJ.,3490,0,0,
Säugling,,säugen,VVINF,3490,45,1,
Emporkömmling,,emporkömm,ADJ.,143,0,0,
Emporkömmling,,emporkomm,ADJ.,143,0,0,
Emporkömmling,,emporkömmen,VVINF,143,0,0,
Schädling,,schäd,ADJ.,2444,0,0,
Schädling,,schad,ADJ.,2444,0,0,
Schädling,,schäden,VVINF,2444,0,0,
Schützling,,schütz,ADJ.,2423,0,0,
Schützling,,schutz,ADJ.,2423,0,0,
Schützling,,schutzen,VVINF,2423,0,0,
Flüchtling,,flücht,ADJ.,9990,0,0,
Flüchtling,,flucht,ADJ.,9990,0,0,
Flüchtling,,fluchten,VVINF,9990,0,0,
Abkömmling,,abkömm,ADJ.,695,0,0,
Abkömmling,,abkomm,ADJ.,695,0,0,
Abkömmling,,abkömmen,VVINF,695,0,0,
Ankömmling,,ankömm,ADJ.,182,0,0,
Ankömmling,,ankomm,ADJ.,182,0,0,
Ankömmling,,ankömmen,VVINF,182,0,0,
Jüngling,,jüng,ADJ.,1828,0,0,
Jüngling,,jüngen,VVINF,1828,0,0,
Jüngling,,jungen,VVINF,1828,0,0,
Sprössling,,spröss,ADJ.,1055,0,0,
Sprössling,,spross,ADJ.,1055,0,0,
Sprössling,,sprössen,VVINF,1055,0,0,
Häuptling,,häupt,ADJ.,1441,0,0,
Häuptling,,häupten,VVINF,1441,0,0,
Häuptling,,haupten,VVINF,1441,0,0,
Häftling,,häft,ADJ.,3165,0,0,
Häftling,,haft,ADJ.,3165,0,0,
Häftling,,häften,VVINF,3165,0,0,
Prüfling,,prüf,ADJ.,1241,0,0,
Prüfling,,pruf,ADJ.,1241,0,0,
Prüfling,,prufen,VVINF,1241,0,0,
Höfling,,höf,ADJ.,269,0,0,
Höfling,,höfen,VVINF,269,0,0,
Höfling,,hofen,VVINF,269,0,0,
Günstling,,günst,ADJ.,221,0,0,
Günstling,,günsten,VVINF,221,0,0,
Günstling,,gunsten,VVINF,221,0,0,
Zögling,,zög,ADJ.,564,0,0,
Zögling,,zog,ADJ.,564,0,0,
Zögling,,zögen,VVINF,564,0,0,
Schößling,,schöß,ADJ.,43,0,0,
Schößling,,schoß,ADJ.,43,0,0,
Schößling,,schößen,VVINF,43,0,0,
Bückling,,bück,ADJ.,82,0,0,
Bückling,,buck,ADJ.,82,0,0,
Bückling,,bucken,VVINF,82,0,0,
Täufling,,täuf,ADJ.,198,0,0,
Täufling,,tauf,ADJ.,198,0,0,
Täufling,,täufen,VVINF,198,0,0,
Schönling,,schon,ADJ.,176,0,0,
Schönling,,schönen,VVINF,176,0,0,
Schönling,,schonen,VVINF,176,2096,1,
Schwächling,,schwäch,ADJ.,267,0,0,
Schwächling,,schwächen,VVINF,267,1247,1,
Schwächling,,schwachen,VVINF,267,0,0,
Sämling,,säm,ADJ.,1,0,0,
Sämling,,sam,ADJ.,1,0,0,
Sämling,,samen,VVINF,1,0,0,
Sträfling,,sträf,ADJ.,181,0,0,
Sträfling,,straf,ADJ.,181,0,0,
Sträfling,,sträfen,VVINF,181,0,0,
Nachkömmling,,nachkömm,ADJ.,67,0,0,
Nachkömmling,,nachkomm,ADJ.,67,0,0,
Nachkömmling,,nachkömmen,VVINF,67,0,0,
Wüstling,,wust,ADJ.,57,0,0,
Wüstling,,wüsten,VVINF,57,0,0,
Wüstling,,wusten,VVINF,57,0,0,
Römling,,röm,ADJ.,8,0,0,
Römling,,rom,ADJ.,8,0,0,
Römling,,romen,VVINF,8,0,0,
Däumling,,däum,ADJ.,91,0,0,
Däumling,,daum,ADJ.,91,0,0,
Däumling,,daumen,VVINF,91,0,0,
Fäustling,,fäust,ADJ.,80,0,0,
Fäustling,,faust,ADJ.,80,0,0,
Fäustling,,fausten,VVINF,80,0,0,
Vorfrühling,,vorfruh,ADJ.,63,0,0,
Vorfrühling,,vorfrühen,VVINF,63,0,0,
Vorfrühling,,vorfruhen,VVINF,63,0,0,
Grünling,,grun,ADJ.,2,0,0,
Grünling,,grünen,VVINF,2,175,1,
Grünling,,grunen,VVINF,2,0,0,
Lüstling,,lüst,ADJ.,30,0,0,
Lüstling,,lust,ADJ.,30,0,0,
Lüstling,,lusten,VVINF,30,0,0,
Spätling,,spat,ADJ.,17,0,0,
Spätling,,späten,VVINF,17,0,0,
Spätling,,spaten,VVINF,17,0,0,
Neuankömmling,,neuankömm,ADJ.,954,0,0,
Neuankömmling,,neuankomm,ADJ.,954,0,0,
Neuankömmling,,neuankömmen,VVINF,954,0,0,
Wurzelschößling,,wurzelschöß,ADJ.,8,0,0,
Wurzelschößling,,wurzelschoß,ADJ.,8,0,0,
Wurzelschößling,,wurzelschößen,VVINF,8,0,0,
Zauberlehrling,,zauberlehr,ADJ.,336,0,0,
Zauberlehrling,,zauberlehrn,VVINF,336,0,0,
Mitlehrling,,mitlehr,ADJ.,3,0,0,
Mitlehrling,,mitlehren,VVINF,3,0,0,
Mitschreiberling,,mitschreiber,ADJ.,1,0,0,
Mitschreiberling,,mitschreiberen,VVINF,1,0,0,
Lehrling,,lehr,ADJ.,2500,0,0,
Lehrling,,lehrn,VVINF,2500,0,0,
Zwilling,,zwil,ADJ.,3863,0,0,
Zwilling,,zwilen,VVINF,3863,0,0,
Zwilling,,zwiln,VVINF,3863,0,0,
Schmetterling,,schmetter,ADJ.,4111,0,0,
Schmetterling,,schmetteren,VVINF,4111,0,0,
Controlling,,control,ADJ.,2577,0,0,
Controlling,,controlen,VVINF,2577,0,0,
Controlling,,controln,VVINF,2577,0,0,
Finsterling,,finsteren,VVINF,87,0,0,
Finsterling,,finstern,VVINF,87,0,0,
Feigling,,feig,ADJ.,717,113,1,
Feigling,,feigen,VVINF,717,0,0,
Silberling,,silber,ADJ.,706,0,0,
Silberling,,silbern,VVINF,706,0,0,
Sonderling,,sonder,ADJ.,290,0,0,
Sonderling,,sonderen,VVINF,290,0,0,
Schreiberling,,schreiber,ADJ.,731,0,0,
Schreiberling,,schreibern,VVINF,731,0,0,
Kammerling,,kammer,ADJ.,2,0,0,
Kammerling,,kammern,VVINF,2,0,0,
Haarling,,haar,ADJ.,63,0,0,
Haarling,,haarn,VVINF,63,0,0,
Mehrling,,mehr,ADJ.,60,0,0,
Mehrling,,mehrn,VVINF,60,0,0,
Ritterling,,ritter,ADJ.,12,0,0,
Ritterling,,rittern,VVINF,12,0,0,
Widerling,,wider,ADJ.,69,0,0,
Widerling,,wideren,VVINF,69,0,0,
Vorschreiberling,,vorschreiber,ADJ.,2,0,0,
Vorschreiberling,,vorschreiberen,VVINF,2,0,0,
Vierling,,vier,ADJ.,152,0,0,
Vierling,,vieren,VVINF,152,0,0,
Vierling,,viern,VVINF,152,0,0,
Porling,,por,ADJ.,12,0,0,
Porling,,poren,VVINF,12,0,0,
Porling,,porn,VVINF,12,0,0,
Schilling,,schil,ADJ.,484,0,0,
Schilling,,schilen,VVINF,484,0,0,
Schilling,,schiln,VVINF,484,0,0,
Sperling,,sper,ADJ.,452,0,0,
Sperling,,speren,VVINF,452,0,0,
Sperling,,spern,VVINF,452,0,0,
Curling,,cur,ADJ.,91,0,0,
Curling,,curen,VVINF,91,0,0,
Curling,,curn,VVINF,91,0,0,
Sterling,,ster,ADJ.,183,0,0,
Sterling,,steren,VVINF,183,0,0,
Sterling,,stern,VVINF,183,0,0,
Shilling,,shil,ADJ.,63,0,0,
Shilling,,shilen,VVINF,63,0,0,
Shilling,,shiln,VVINF,63,0,0,
Engerling,,enger,ADJ.,86,0,0,
Engerling,,engeren,VVINF,86,0,0,
Engerling,,engern,VVINF,86,0,0,
Billing,,bil,ADJ.,343,0,0,
Billing,,bilen,VVINF,343,0,0,
Billing,,biln,VVINF,343,0,0,
Pfifferling,,pfiffer,ADJ.,452,0,0,
Pfifferling,,pfifferen,VVINF,452,0,0,
Pfifferling,,pfiffern,VVINF,452,0,0,
Drilling,,dril,ADJ.,527,0,0,
Drilling,,drilen,VVINF,527,0,0,
Drilling,,driln,VVINF,527,0,0,
Darling,,dar,ADJ.,377,0,0,
Darling,,daren,VVINF,377,0,0,
Darling,,darn,VVINF,377,0,0,
Herling,,her,ADJ.,28,0,0,
Herling,,heren,VVINF,28,0,0,
Herling,,hern,VVINF,28,0,0,
Gilling,,gil,ADJ.,17,0,0,
Gilling,,gilen,VVINF,17,0,0,
Gilling,,giln,VVINF,17,0,0,
Fingerling,,finger,ADJ.,47,0,0,
Fingerling,,fingeren,VVINF,47,0,0,
Fingerling,,fingern,VVINF,47,163,0,
Mitscherling,,mitscher,ADJ.,6,0,0,
Mitscherling,,mitscheren,VVINF,6,0,0,
Mitscherling,,mitschern,VVINF,6,0,0,
Egerling,,eger,ADJ.,4,0,0,
Egerling,,egeren,VVINF,4,0,0,
Egerling,,egern,VVINF,4,0,0,
Speierling,,speier,ADJ.,67,0,0,
Speierling,,speieren,VVINF,67,0,0,
Speierling,,speiern,VVINF,67,0,0,
Ankoemmling,,ankoemm,ADJ.,0,0,0,
Oberfiesling,,oberfiesen,VVINF,5,0,0,
Fussballiebling,,fussballieben,VVINF,0,0,0,
Kubaneuling,,kubaneuen,VVINF,0,0,0,
Wuestling,,wuesten,VVINF,0,0,0,
Liebling,,lieb,ADJ.,5630,198820,1,
Winzling,,winzen,VVINF,345,0,0,
Neuling,,neuen,VVINF,5172,0,0,
Bratling,,brat,ADJ.,50,0,0,
Findling,,find,ADJ.,548,0,0,
Rohling,,rohen,VVINF,1884,0,0,
Breitling,,breiten,VVINF,244,167,1,
Pressling,,press,ADJ.,58,0,0,
Steckling,,steck,ADJ.,555,0,0,
Nestling,,nest,ADJ.,105,0,0,
Erstling,,ersten,VVINF,630,0,0,
Keimling,,keim,ADJ.,368,0,0,
Greifling,,greif,ADJ.,32,0,0,
Eindringling,,eindring,ADJ.,1329,0,0,
Frischling,,frischen,VVINF,539,34,1,
Mischling,,misch,ADJ.,1391,0,0,
Wildling,,wilden,VVINF,69,0,0,
Weichling,,weichen,VVINF,45,2078,1,
Erdling,,erd,ADJ.,109,0,0,
Firmling,,firmen,VVINF,158,0,0,
Naivling,,naiven,VVINF,54,0,0,
Fremdling,,fremden,VVINF,343,0,0,
Ehrgeizling,,ehrgeiz,ADJ.,22,0,0,
Fiesling,,fiesen,VVINF,240,0,0,
Setzling,,setz,ADJ.,243,0,0,
Witzling,,witz,ADJ.,9,0,0,
Pflegling,,pfleg,ADJ.,244,0,0,
Stichling,,stich,ADJ.,143,0,0,
Weidling,,weid,ADJ.,15,0,0,
Primitivling,,primitiven,VVINF,23,0,0,
Weißling,,weißen,VVINF,14,97,1,
Schwindling,,schwind,ADJ.,15,0,0,
Bowling,,bow,ADJ.,825,0,0,
Bowling,,bowen,VVINF,825,0,0,
Styling,,sty,ADJ.,1112,0,0,
Styling,,styen,VVINF,1112,0,0,
Handling,,hand,ADJ.,2369,0,0,
Handling,,handen,VVINF,2369,0,0,
Feeling,,fee,ADJ.,1846,0,0,
Feeling,,feeen,VVINF,1846,0,0,
Recycling,,recyc,ADJ.,1621,0,0,
Recycling,,recycen,VVINF,1621,0,0,
Mailing,,mai,ADJ.,783,0,0,
Mailing,,maien,VVINF,783,0,0,
Profiling,,profi,ADJ.,221,0,0,
Profiling,,profien,VVINF,221,0,0,
Dribbling,,dribb,ADJ.,451,0,0,
Dribbling,,dribben,VVINF,451,0,0,
Peeling,,pee,ADJ.,819,0,0,
Peeling,,peeen,VVINF,819,0,0,
