lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Konservatorium,,konservatorieren,VVINF,719,0,0,
Kuratorium,,kuratorieren,VVINF,1517,0,0,
Observatorium,,observatorieren,VVINF,563,0,0,
Präsidium,,Präsid,NN,3096,0,0,
Privilegium,,privilegieren,VVINF,1890,39,1,
Repetitorium,,repetitorieren,VVINF,144,0,0,
Sensorium,,sensorieren,VVINF,70,0,0,
Tutorium,,tutorieren,VVINF,722,0,0,
Vokabularium,,vokabularieren,VVINF,15,0,0,
Planetarium,,planetarieren,VVINF,627,0,0,
Planetarium,,Planetar,NN,627,0,0,
Aluminium,,aluminieren,VVINF,5220,0,0,
Aluminium,,Alumin,NN,5220,0,0,
Ambulatorium,,ambulatorieren,VVINF,83,0,0,
Ambulatorium,,Ambulator,NN,83,0,0,
Ammonium,,ammonieren,VVINF,279,0,0,
Ammonium,,Ammon,NN,279,0,0,
Amphibium,,amphibieren,VVINF,919,0,0,
Amphibium,,Amphib,NN,919,0,0,
Anfangsstadium,,anfangsstadieren,VVINF,425,0,0,
Anfangsstadium,,Anfangsstad,NN,425,0,0,
Antependium,,antependieren,VVINF,60,0,0,
Antependium,,Antepend,NN,60,0,0,
Antihelium,,antihelieren,VVINF,1,0,0,
Antihelium,,Antihel,NN,1,0,0,
Aquarium,,aquarieren,VVINF,7838,0,0,
Aquarium,,Aquar,NN,7838,0,0,
Arbitrium,,arbitrieren,VVINF,9,0,0,
Arbitrium,,Arbitr,NN,9,0,0,
Archivalium,,archivalieren,VVINF,434,0,0,
Archivalium,,Archival,NN,434,0,0,
Astrolabium,,astrolabieren,VVINF,23,0,0,
Astrolabium,,Astrolab,NN,23,0,0,
Atrium,,atrieren,VVINF,626,0,0,
Atrium,,Atr,NN,626,0,0,
Auditorium,,auditorieren,VVINF,848,0,0,
Auditorium,,Auditor,NN,848,615,0,
Auspizium,,auspizieren,VVINF,33,0,0,
Auspizium,,Auspiz,NN,33,0,0,
Bakterie,,bakteieren,VVINF,88,0,0,
Bakterie,,Bakte,NN,88,0,0,
Bakterium,,bakterieren,VVINF,9470,0,0,
Bakterium,,Bakter,NN,9470,0,0,
Baptisterium,,baptisterieren,VVINF,85,0,0,
Baptisterium,,Baptister,NN,85,0,0,
Barium,,barieren,VVINF,84,0,0,
Barium,,Bar,NN,84,14998,0,
Bestiarium,,bestiarieren,VVINF,102,0,0,
Bestiarium,,Bestiar,NN,102,0,0,
Breviarium,,breviarieren,VVINF,18,0,0,
Breviarium,,Breviar,NN,18,0,0,
Brimborium,,brimborieren,VVINF,199,0,0,
Brimborium,,Brimbor,NN,199,0,0,
Cadmium,,cadmieren,VVINF,320,0,0,
Cadmium,,Cadm,NN,320,0,0,
Calcium,,calcieren,VVINF,1806,0,0,
Calcium,,Calc,NN,1806,0,0,
Cäsium,,cäsieren,VVINF,45,0,0,
Cäsium,,Cäs,NN,45,0,0,
Chlamydium,,chlamydieren,VVINF,230,0,0,
Chlamydium,,Chlamyd,NN,230,0,0,
Darmbakterium,,darmbakterieren,VVINF,282,0,0,
Darmbakterium,,Darmbakter,NN,282,0,0,
Deklinatorium,,deklinatorieren,VVINF,2,0,0,
Deklinatorium,,Deklinator,NN,2,0,0,
Delirium,,delirieren,VVINF,350,6,0,
Delirium,,Delir,NN,350,48,0,
Deuterium,,deuterieren,VVINF,370,0,0,
Deuterium,,Deuter,NN,370,254,0,
Diarium,,diarieren,VVINF,34,0,0,
Diarium,,Diar,NN,34,0,0,
Dilithium,,dilithieren,VVINF,40,0,0,
Dilithium,,Dilith,NN,40,0,0,
Dinatrium,,dinatrieren,VVINF,4,0,0,
Dinatrium,,Dinatr,NN,4,0,0,
Dormitorium,,dormitorieren,VVINF,28,0,0,
Dormitorium,,Dormitor,NN,28,0,0,
Elysium,,elysieren,VVINF,104,0,0,
Elysium,,Elys,NN,104,0,0,
Emporium,,emporieren,VVINF,64,0,0,
Emporium,,Empor,NN,64,0,0,
Equilibrium,,equilibrieren,VVINF,157,0,0,
Equilibrium,,Equilibr,NN,157,0,0,
Evangelium,,evangelieren,VVINF,6245,0,0,
Evangelium,,Evangel,NN,6245,0,0,
Exerzitium,,exerzitieren,VVINF,391,0,0,
Exerzitium,,Exerzit,NN,391,0,0,
Gallium,,gallieren,VVINF,97,0,0,
Gallium,,Gall,NN,97,0,0,
Gaudium,,gaudieren,VVINF,109,0,0,
Gaudium,,Gaud,NN,109,0,0,
Geranium,,geranieren,VVINF,106,0,0,
