lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Assoziation,,assoziieren,VVINF,3537,208,1,1.0
Augmentation,,augmentieren,VVINF,82,0,0,
Authentifikation,,authentifikieren,VVINF,58,0,0,
Automation,,automieren,VVINF,1149,0,0,
Bifurkation,,bifurkieren,VVINF,2550,0,0,
Bonifikation,,bonifikieren,VVINF,20,0,0,
Compilation,,compilieren,VVINF,905,0,0,
Deeskalation,,deeskalieren,VVINF,325,0,0,
Deflation,,deflieren,VVINF,610,0,0,
Deformation,,deformieren,VVINF,438,39,1,1.0
Degeneration,,degenerieren,VVINF,342,66,1,1.0
Degradation,,degradieren,VVINF,105,174,1,1.0
Degranulation,,degranulieren,VVINF,10,0,0,
Degustation,,degustieren,VVINF,131,0,0,
Dehydration,,dehydrieren,VVINF,99,0,0,
Deinstallation,,deinstallieren,VVINF,384,0,0,
Deklamation,,deklamieren,VVINF,87,22,1,1.0
Deklaration,,deklarieren,VVINF,1178,568,1,1.0
Deklination,,deklinieren,VVINF,252,24,1,1.0
Dekompensation,,dekompensieren,VVINF,46,0,0,
Dekompilation,,dekompilieren,VVINF,4,0,0,
Dekoration,,dekorieren,VVINF,3286,396,1,1.0
Delegation,,delegieren,VVINF,4229,425,1,1.0
Demineralisation,,demineralisieren,VVINF,12,0,0,
Demonstration,,demonstrieren,VVINF,10078,2758,1,1.0
Denitrifikation,,denitrifikieren,VVINF,60,0,0,
Denotation,,denotieren,VVINF,82,0,0,
Denunziation,,denunziieren,VVINF,367,0,0,
Depolarisation,,depolarisieren,VVINF,67,0,0,
Deportation,,deportieren,VVINF,987,0,0,
Deprivation,,deprivieren,VVINF,109,0,0,
Deputation,,deputieren,VVINF,111,0,0,
Derealisation,,derealisieren,VVINF,13,0,0,
Derivation,,derivieren,VVINF,65,0,0,
Desinformation,,desinformieren,VVINF,460,0,0,
Desorganisation,,desorganisieren,VVINF,50,0,0,
Destillation,,destillieren,VVINF,286,74,1,1.0
Destination,,destinieren,VVINF,1437,0,0,
Determination,,determinieren,VVINF,173,26,1,1.0
Detonation,,detonieren,VVINF,352,0,0,
Dilatation,,dilatieren,VVINF,98,0,0,
Disintegration,,disintegrieren,VVINF,36,0,0,
Diskrimination,,diskriminieren,VVINF,23,348,1,1.0
Dislokation,,dislokieren,VVINF,49,0,0,
Disputation,,disputieren,VVINF,278,28,1,1.0
Disqualifikation,,disqualifikieren,VVINF,321,0,0,
Dissertation,,dissertieren,VVINF,4904,0,0,
Dissoziation,,dissoziieren,VVINF,214,24,1,1.0
Diversifikation,,diversifikieren,VVINF,297,0,0,
Dokumentation,,dokumentieren,VVINF,15457,3450,1,1.0
Domestikation,,domestikieren,VVINF,107,0,0,
Dotation,,dotieren,VVINF,83,16,1,1.0
Duplikation,,duplikieren,VVINF,32,0,0,
Ejakulation,,ejakulieren,VVINF,365,36,1,1.0
Elevation,,elevieren,VVINF,127,0,0,
Elimination,,eliminieren,VVINF,257,917,1,1.0
Emanation,,emanieren,VVINF,54,0,0,
Emanzipation,,emanzipieren,VVINF,2019,183,1,1.0
Emigration,,emigrieren,VVINF,886,198,1,1.0
Emulation,,emulieren,VVINF,271,0,0,
Eskalation,,eskalieren,VVINF,1580,497,1,1.0
Evaluation,,evaluieren,VVINF,3745,470,1,1.0
Evangelisation,,evangelisieren,VVINF,358,0,0,
Evokation,,evokieren,VVINF,44,0,0,
Examination,,examinieren,VVINF,33,16,1,1.0
Exkommunikation,,exkommunikieren,VVINF,328,0,0,
Exmatrikulation,,exmatrikulieren,VVINF,231,0,0,
Explikation,,explikieren,VVINF,67,0,0,
Exploitation,,exploitieren,VVINF,77,0,0,
Exploration,,explorieren,VVINF,432,32,1,1.0
Expropriation,,expropriieren,VVINF,26,0,0,
Extrapolation,,extrapolieren,VVINF,123,0,0,
Fabrikation,,fabrikieren,VVINF,249,0,0,
Falsifikation,,falsifikieren,VVINF,97,0,0,
Faszination,,faszinieren,VVINF,4952,467,1,1.0
Fermentation,,fermentieren,VVINF,181,0,0,
Fibrillation,,fibrillieren,VVINF,5,0,0,
Figuration,,figurieren,VVINF,156,15,1,1.0
Filtration,,filtrieren,VVINF,292,28,1,1.0
Fixation,,fixieren,VVINF,100,1230,1,1.0
Flotation,,flotieren,VVINF,38,0,0,
Fluktuation,,fluktuieren,VVINF,746,12,1,1.0
Föderation,,föderieren,VVINF,2663,0,0,
Formation,,formieren,VVINF,4451,358,1,1.0
Frustration,,frustrieren,VVINF,1443,105,1,1.0
Generalisation,,generalisieren,VVINF,18,72,1,1.0
Generation,,generieren,VVINF,37437,2630,1,1.0
Gestikulation,,gestikulieren,VVINF,15,34,1,1.0
Gradation,,gradieren,VVINF,118,0,0,
Granulation,,granulieren,VVINF,38,0,0,
Gratifikation,,gratifikieren,VVINF,186,0,0,
Gratulation,,gratulieren,VVINF,2476,1840,1,1.0
Gravitation,,gravitieren,VVINF,1296,0,0,
Habilitation,,habilitieren,VVINF,969,43,1,1.0
Halluzination,,halluzinieren,VVINF,978,30,1,1.0
Harmonisation,,harmonisieren,VVINF,2,288,1,1.0
Hibernation,,hibernieren,VVINF,39,0,0,
Honoration,,honorieren,VVINF,21,481,1,1.0
Hospitation,,hospitieren,VVINF,319,89,1,1.0
Hydration,,hydrieren,VVINF,21,0,0,
Identifikation,,identifikieren,VVINF,3797,0,0,
Illumination,,illuminieren,VVINF,215,25,1,1.0
Illustration,,illustrieren,VVINF,5342,455,1,1.0
Imagination,,imaginieren,VVINF,798,40,1,1.0
Imitation,,imitieren,VVINF,502,474,1,1.0
Immatrikulation,,immatrikulieren,VVINF,479,83,1,1.0
Immigration,,immigrieren,VVINF,505,10,1,1.0
Implantation,,implantieren,VVINF,677,168,1,1.0
Implementation,,implementieren,VVINF,552,1222,1,1.0
Implikation,,implikieren,VVINF,1090,0,0,
Improvisation,,improvisieren,VVINF,1898,596,1,1.0
Inauguration,,inaugurieren,VVINF,39,3,1,1.0
Indikation,,indikieren,VVINF,2313,0,0,
Individuation,,individuieren,VVINF,86,0,0,
Indoktrination,,indoktrinieren,VVINF,375,52,1,1.0
Infiltration,,infiltrieren,VVINF,332,158,1,1.0
Inflation,,inflieren,VVINF,4693,0,0,
Information,,informieren,VVINF,199282,24385,1,1.0
Inhalation,,inhalieren,VVINF,384,186,1,1.0
Initiation,,initiieren,VVINF,398,903,1,1.0
Inkarnation,,inkarnieren,VVINF,1208,64,1,1.0
Inklination,,inklinieren,VVINF,91,0,0,
Inkorporation,,inkorporieren,VVINF,80,0,0,
Inkubation,,inkubieren,VVINF,142,0,0,
Inkulturation,,inkulturieren,VVINF,41,0,0,
Innovation,,innovieren,VVINF,14208,0,0,
Inokulation,,inokulieren,VVINF,28,0,0,
Inovation,,inovieren,VVINF,54,0,0,
Inspiration,,inspirieren,VVINF,4679,2833,1,1.0
Installation,,installieren,VVINF,21826,13333,1,1.0
Instrumentation,,instrumentieren,VVINF,165,10,1,1.0
Integration,,integrieren,VVINF,21328,7128,1,1.0
Internation,,internieren,VVINF,28,33,1,1.0
Interpolation,,interpolieren,VVINF,269,55,1,1.0
Interpretation,,interpretieren,VVINF,13067,3225,1,1.0
Inthronisation,,inthronisieren,VVINF,89,9,1,1.0
Intonation,,intonieren,VVINF,445,62,1,1.0
Intoxikation,,intoxikieren,VVINF,104,0,0,
Intubation,,intubieren,VVINF,88,0,0,
Inventarisation,,inventarisieren,VVINF,39,27,1,1.0
Ionisation,,ionisieren,VVINF,115,0,0,
Irritation,,irritieren,VVINF,1459,647,1,1.0
Isation,,isieren,VVINF,0,0,0,
Isolation,,isolieren,VVINF,2555,821,1,1.0
Iteration,,iterieren,VVINF,248,0,0,
Kalkulation,,kalkulieren,VVINF,2157,841,1,1.0
Kanalisation,,kanalisieren,VVINF,1282,232,1,1.0
Kapitulation,,kapitulieren,VVINF,1239,290,1,1.0
Kastration,,kastrieren,VVINF,2033,1161,1,1.0
Kation,,kieren,VVINF,219,0,0,
Klassifikation,,klassifikieren,VVINF,1120,0,0,
Koartikulation,,koartikulieren,VVINF,4,0,0,
Kodifikation,,kodifikieren,VVINF,51,0,0,
Koedukation,,koedukieren,VVINF,78,0,0,
Kollaboration,,kollaborieren,VVINF,690,31,1,1.0
Kolonisation,,kolonisieren,VVINF,263,62,1,1.0
Kombination,,kombinieren,VVINF,29471,4141,1,1.0
Kommunikation,,kommunikieren,VVINF,32447,0,0,
Kompensation,,kompensieren,VVINF,1233,2540,1,1.0
