lemma,POS,freq
lieb,ADJD,2236018
lieb,ADJA,1685111
lieb,PTKVZ,23877
oben,ADV,2235452
oben,PTKVZ,214410
Auto,NN,2213871
Straße,NN,2203484
echt,ADJD,2197489
echt,ADJA,1172476
Text,NN,2190481
Foto,NN,2187888
halt,ADV,2185305
halt,PTKVZ,121421
hinter,APPR,2172344
Band,NN,2143560
allein,ADV,2130814
allein,PTKVZ,42366
Team,NN,2109501
Interesse,NN,2108621
Eltern,NN,2081906
Folge,NN,2076185
Blick,NN,2069393
je,ADV,2058150
je,APPR,732298
je,KOUS,145904
statt,PTKVZ,2045553
statt,APPR,960462
statt,KOUI,223193
Kirche,NN,2016814
schlecht,ADJD,2005213
schlecht,ADJA,1415276
Recht,NN,1981439
Wert,NN,1964670
meist,ADV,1959528
nehmen,VVINF,1955494
trotz,APPR,1926537
Weise,NN,1920939
Rolle,NN,1910649
Kopf,NN,1900884
Chance,NN,1892948
Firma,NN,1875497
Gast,NN,1875420
nein,PTKANT,1873922
Tip,NN,1867711
Stelle,NN,1867336
Link,NN,1854012
Markt,NN,1847089
bitte,ADV,1839402
bitte,PTKANT,460497
Liebe,NN,1827058
bald,ADV,1800297
Kraft,NN,1769192
hin,PTKVZ,1768966
hin,APZR,297133
Staat,NN,1755292
toll,ADJA,1751327
toll,ADJD,1076561
Mai,NN,1705950
Zahl,NN,1698424
Titel,NN,1671258
Detail,NN,1667630
dennoch,ADV,1661268
weiter,PTKVZ,1660917
halten,VVINF,1659116
Autor,NN,1640727
Schritt,NN,1637658
Farbe,NN,1610353
Werk,NN,1607316
Hotel,NN,1602583
bevor,KOUS,1601213
bevor,PTKVZ,150383
Höhe,NN,1599048
Karte,NN,1595150
bringen,VVINF,1589760
zusammen,PTKVZ,1589156
Klasse,NN,1587991
Kontakt,NN,1581771
müssen,VMINF,1577747
müssen,VVINF,12306
modern,ADJA,1570020
modern,ADJD,114952
modern,VVINF,17530
wissen,VVINF,1562812
wann,PWAV,1555960
Glück,NN,1555384
Satz,NN,1541538
Arzt,NN,1530549
Wunsch,NN,1505196
bleiben,VVINF,1499077
Juni,NN,1491999
Menge,NN,1479137
Sprache,NN,1469617
März,NN,1444393
Wahl,NN,1443398
morgen,ADV,1442757
Tod,NN,1441157
Modell,NN,1429354
falls,KOUS,1424831
April,NN,1408487
Patient,NN,1404546
Licht,NN,1392332
außer,APPR,1373354
außer,KOUS,104940
Video,NN,1369101
laut,APPR,1368522
laut,ADJD,551332
laut,ADJA,198095
Tor,NN,1347939
Boden,NN,1344865
privat,ADJA,1336006
privat,ADJD,341966
früh,ADJA,1332144
früh,ADJD,1254860
online,ADJD,1331497
online,ADJA,120861
Regel,NN,1330389
Sohn,NN,1320054
Krieg,NN,1319655
stellen,VVINF,1319650
Juli,NN,1317019
Reihe,NN,1316630
spielen,VVINF,1300517
helfen,VVINF,1292130
Fan,NN,1288901
Bank,NN,1282472
Info,NN,1276615
Grenze,NN,1276289
Suche,NN,1273063
weder,KON,1260701
stehen,VVINF,1256373
interessant,ADJA,1251893
interessant,ADJD,1242551
knapp,ADJD,1239313
knapp,ADJA,263833
indem,KOUS,1234466
lesen,VVINF,1233017
kaufen,VVINF,1222665
falsch,ADJD,1215806
falsch,ADJA,944493
falsch,PTKVZ,10453
Wissen,NN,1212582
okay,ADJD,1212279
selten,ADJD,1200700
selten,ADJA,299548
selten,ADV,65267
Kunst,NN,1193818
Kampf,NN,1191660
links,ADV,1188007
links,ADJA,158816
Pferd,NN,1185958
rot,ADJA,1184644
rot,ADJD,392968
komplett,ADJD,1180590
komplett,ADJA,803317
Größe,NN,1170069
August,NN,1163989
Fahrzeug,NN,1154755
Fuß,NN,1152291
offen,ADJA,1149687
offen,ADJD,1104064
schreiben,VVINF,1147739
Bitte,ADV,1145307
Bitte,NN,211018
sogenannt,ADJA,1139305
nutzen,VVINF,1139146
führen,VVINF,1126651
Sicht,NN,1121716
Kreis,NN,1120737
schwarz,ADJA,1119331
schwarz,ADJD,455968
Saison,NN,1110595
Volk,NN,1104205
dank,APPR,1102507
dank,PTKVZ,32106
Blog,NN,1100818
rechts,ADV,1090669
rechts,PTKVZ,22670
Konzept,NN,1087450
Luft,NN,1082200
Methode,NN,1077137
Gruß,NN,1058317
mm,NN,1056996
Service,NN,1056526
alleine,ADV,1053077
alleine,PTKVZ,71129
Freude,NN,1052759
Dienst,NN,1049574
Stunde,NN,1045802
Zitat,NN,1044150
Praxis,NN,1039874
fest,PTKVZ,1038078
fest,ADJD,733461
fest,ADJA,726353
Sport,NN,1036444
Stand,NN,1031419
Linie,NN,1022778
Essen,NN,1015646
Prozess,NN,1014143
Druck,NN,1009423
fahren,VVINF,1009037
weiß,ADJA,1008661
weiß,ADJD,526282
weiß,PTKVZ,57016
Start,NN,993326
Schluss,NN,989300
Grad,NN,988779
Grad,ADV,16978
leben,VVINF,983039
Lauf,NN,979296
Feld,NN,978824
Song,NN,975889
Wald,NN,975288
weg,PTKVZ,973552
Kollege,NN,972602
halb,ADJA,971360
halb,ADJD,358837
Quelle,NN,968605
Schaden,NN,964044
Sonne,NN,963672
her,PTKVZ,958879
her,APZR,639563
Netz,NN,958372
Sieg,NN,958288
dar,PTKVZ,957957
Insel,NN,952039
arbeiten,VVINF,949960
Rest,NN,946798
Macht,NN,942176
Risiko,NN,939598
Runde,NN,936534
Garten,NN,934886
Hälfte,NN,932107
hören,VVINF,924440
Reise,NN,923381
stets,ADV,920550
Plan,NN,913832
Liste,NN,911715
schlimm,ADJD,909652
schlimm,ADJA,415442
Schutz,NN,909208
lernen,VVINF,909057
grün,ADJA,908475
grün,ADJD,277939
Strecke,NN,907177
Türe,NN,903137
Zweck,NN,890440
rein,ADJA,879373
rein,ADV,864741
rein,PTKVZ,619380
rein,ADJD,15396
wieso,PWAV,879258
Lied,NN,877257
breit,ADJA,872350
breit,ADJD,425543
Typ,NN,870981
Lust,NN,869547
Ruhe,NN,868255
Kurs,NN,865380
zeigen,VVINF,863085
Hab,NN,861339
Motor,NN,860469
Institut,NN,856076
Test,NN,855212
Post,NN,854721
Glaube,NN,852426
tief,ADJD,852072
tief,ADJA,741164
suchen,VVINF,851616
Bau,NN,849222
Stimme,NN,848373
Sekunde,NN,847179
ändern,VVINF,846790
Basis,NN,839516
Design,NN,832191
Katze,NN,829326
Thread,NN,827313
Himmel,NN,822422
schaffen,VVINF,821235
Ball,NN,817040
Szene,NN,816117
Kamera,NN,815310
extrem,ADJD,813018
extrem,ADJA,295411
divers,ADJA,808964
wollen,VMINF,807486
nett,ADJA,799265
nett,ADJD,579633
kennen,VVINF,793155
Haut,NN,789474
Schiff,NN,783501
Prinzip,NN,783051
Marke,NN,782941
Konzert,NN,782906
Ebene,NN,781463
Dame,NN,780425
Fahrt,NN,775375
konkret,ADJA,773103
konkret,ADJD,314397
wahr,ADJA,773017
wahr,ADJD,555324
Maß,NN,772748
setzen,VVINF,772415
Tisch,NN,770847
Aspekt,NN,769824
Seele,NN,766204
Junge,NN,765038
DVD,NN,758950
Tat,NN,756253
liegen,VVINF,753996
liegen,PTKVZ,11233
ziehen,VVINF,753454
innen,ADV,752758
innen,ADJD,214351
See,NN,748969
Dorf,NN,748212
Roman,NN,746785
schade,ADJD,746383
selbe,ADJA,740889
Handy,NN,738608
Job,NN,732763
Morgen,NN,729610
Ecke,NN,728484
Stern,NN,724553
Adresse,NN,712875
laufen,VVINF,711137
Strom,NN,704451
leisten,VVINF,704188
Kontrolle,NN,703777
Präsident,NN,703023
Objekt,NN,702301
Wand,NN,701003
Amt,NN,700412
momentan,ADJD,700112
momentan,ADJA,103134
Schmerz,NN,696727
Bühne,NN,695445
Waffe,NN,694250
eng,ADJA,693710
eng,ADJD,546940
denken,VVINF,691491
Gute,NN,690716
warten,VVINF,690486
empfehlen,VVINF,687044
Küche,NN,686289
Brief,NN,684907
Ware,NN,675965
Kapitel,NN,675745
raus,PTKVZ,670396
raus,ADV,611251
Maschine,NN,667114
Bund,NN,666544
draußen,ADV,652866
Jugend,NN,651216
Holz,NN,650832
Ganze,NN,650037
sprechen,VVINF,649676
Fläche,NN,649306
fragen,VVINF,648078
Kauf,NN,647258
sofern,KOUS,646596
Falle,NN,646430
Experte,NN,646206
Mail,NN,643968
danke,PTKANT,642697
hart,ADJA,641996
hart,ADJD,595214
Ohr,NN,634914
Wind,NN,634548
Rede,NN,630699
Variante,NN,627875
Rand,NN,623431
Milliarde,NN,622537
Student,NN,620401
Neue,NN,619038
gemäß,APPR,617173
gemäß,APPO,31740
Club,NN,613551
dick,ADJA,610671
dick,ADJD,263460
Fisch,NN,610373
perfekt,ADJD,608194
perfekt,ADJA,520991
willkommen,ADJD,607778
willkommen,ADJA,46579
Pause,NN,603462
tragen,VVINF,600384
Effekt,NN,600104
freuen,VVINF,599581
Bus,NN,599523
Gang,NN,598152
Schloss,NN,597332
Wille,NN,595660
Rücken,NN,594018
Halle,NN,592657
Motto,NN,591002
froh,ADJD,590887
froh,ADJA,151639
Blut,NN,590873
treffen,VVINF,589000
Schuld,NN,584963
Stoff,NN,582107
fein,ADJA,581666
fein,ADJD,250723
bieten,VVINF,576450
Phase,NN,573747
bisschen,ADV,572331
Handel,NN,571391
Wagen,NN,570637
Radio,NN,570048
Ton,NN,568778
mobil,ADJA,567702
mobil,ADJD,133630
Stil,NN,564584
Treffen,NN,561194
König,NN,557976
blau,ADJA,554308
blau,ADJD,213930
Grüne,NN,548743
Strand,NN,548061
Soldat,NN,546085
Öl,NN,545809
Pflege,NN,544838
bloß,ADJD,544360
bloß,ADJA,222097
heiß,ADJA,543586
heiß,ADJD,349247
teil,PTKVZ,542644
Gold,NN,542354
Bahn,NN,541502
Masse,NN,541473
los,PTKVZ,539709
Faktor,NN,536856
Büro,NN,534456
kalt,ADJA,533062
kalt,ADJD,401295
Rad,NN,532871
Länge,NN,530878
Blatt,NN,529690
reden,VVINF,529523
Park,NN,528546
Code,NN,528510
Partie,NN,527531
außen,ADV,526274
außen,ADJD,35047
Vogel,NN,525611
ihr,PRF,523649
ihr,PPOSS,15267
Schrift,NN,523616
Wesen,NN,523066
fremd,ADJA,518249
fremd,ADJD,126515
Boot,NN,518152
Atmosphäre,NN,516441
Kaffee,NN,516055
Trend,NN,513084
Frieden,NN,512458
Heimat,NN,512159
glauben,VVINF,511019
holen,VVINF,509088
Konflikt,NN,508806
Standard,NN,508471
Niveau,NN,508127
nennen,VVINF,507173
Jude,NN,504610
Laden,NN,504214
laß,ADJD,503501
laß,ADJA,32464
Schuh,NN,502464
Schreiben,NN,501639
Krise,NN,501552
quasi,ADV,500679
Baby,NN,500605
Glas,NN,498011
extern,ADJA,497359
extern,ADJD,44670
warm,ADJA,497339
warm,ADJD,450012
Brücke,NN,496754
Norden,NN,495902
Platte,NN,495849
zeit,APPR,495145
informieren,VVINF,492621
Dach,NN,492520
passieren,VVINF,491223
Kino,NN,490450
Pflicht,NN,489533
desto,KON,488716
Osten,NN,488142
Nase,NN,487724
Mund,NN,486134
Liga,NN,484776
Sitz,NN,484215
Fazit,NN,484021
Wechsel,NN,482876
Fleisch,NN,482453
cool,ADJD,481597
cool,ADJA,247594
Show,NN,481077
arm,ADJA,480382
arm,ADJD,135732
Gut,NN,480035
Stufe,NN,477525
Mangel,NN,477345
Flug,NN,477169
Hof,NN,474909
Spitze,NN,473393
Story,NN,472891
essen,VVINF,471583
Kabel,NN,470608
Rennen,NN,468651
zahlen,VVINF,467767
Handeln,NN,467272
dürfen,VMINF,467154
Fest,NN,466905
Zweifel,NN,462711
schauen,VVINF,460579
Ring,NN,459677
Chef,NN,456992
böse,ADJA,454680
böse,ADJD,250041
Hallo,NN,453525
live,ADJD,452823
Tabelle,NN,450450
Branche,NN,450285
wenden,VVINF,448384
Party,NN,447607
Denken,NN,447553
Ei,NN,446512
achten,VVINF,444702
bauen,VVINF,443396
Süden,NN,442516
Profil,NN,442332
Mut,NN,439989
Presse,NN,439322
bunt,ADJA,439116
bunt,ADJD,196855
Scheibe,NN,438531
App,NN,438046
Zahn,NN,437386
Mark,NN,437379
Zeile,NN,434974
starten,VVINF,434619
wählen,VVINF,433849
Fluss,NN,433061
Tasche,NN,431802
siehe,ADV,431706
tot,ADJD,431646
tot,ADJA,247541
tot,PTKVZ,10663
Rock,NN,428172
lösen,VVINF,427627
Loch,NN,425424
komplex,ADJA,420142
komplex,ADJD,117355
Plattform,NN,418774
Web,NN,418624
Regen,NN,417744
Planet,NN,417302
legen,VVINF,414234
Event,NN,413739
Lernen,NN,412300
stolz,ADJD,411574
stolz,ADJA,139003
Reich,NN,410784
Kleine,NN,409191
Zelle,NN,407981
Englisch,NN,407013
Not,NN,406415
klasse,ADJD,405918
klasse,ADJA,160879
Stress,NN,405786
Konto,NN,403911
Christus,NN,403462
schwach,ADJA,402930
schwach,ADJD,346671
rechnen,VVINF,402216
Modul,NN,401099
Mühe,NN,400230
schützen,VVINF,399474
Spiegel,NN,399057
testen,VVINF,396481
hervor,PTKVZ,396316
Lehre,NN,393463
Rezept,NN,391568
Schnee,NN,391207
Karriere,NN,390628
Kreuz,NN,389036
Truppe,NN,388625
sorgen,VVINF,388193
Respekt,NN,386578
Schatten,NN,386447
Sound,NN,385442
Sex,NN,385080
Held,NN,384138
sparen,VVINF,383320
Paket,NN,381545
