lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Erstimplantation,,erstimplantieren,VVINF,6,0,1,,,,Implantation
Erstinformation,,erstinformieren,VVINF,81,0,1,,,,Information
Erstinstallation,,erstinstallieren,VVINF,127,0,1,,,,Installation
Erstkonfiguration,,erstkonfigurieren,VVINF,12,0,1,,,,Konfiguration
Erstmanifestation,,erstmanifestieren,VVINF,27,0,1,,,,Manifestation
Eskalation,,eskalieren,VVINF,1580,497,1,1.0,,,
Evaluation,,evaluieren,VVINF,3745,470,1,1.0,,,
Evangelisation,,evangelisieren,VVINF,358,0,1,1.0,,,
Evokation,,evokieren,VVINF,44,0,1,,evozieren,VVINF,
Examination,,examinieren,VVINF,33,16,1,1.0,,,
Exkommunikation,,exkommunikieren,VVINF,328,0,1,,exkommunizieren,VVINF,
Exmatrikulation,,exmatrikulieren,VVINF,231,0,1,1.0,,,
Explikation,,explikieren,VVINF,67,0,1,,explizieren,VVINF,
Exploitation,,exploitieren,VVINF,77,0,1,1.0,,,
Exploration,,explorieren,VVINF,432,32,1,1.0,,,
Expropriation,,expropriieren,VVINF,26,0,1,1.0,,,
Extrapolation,,extrapolieren,VVINF,123,0,1,1.0,,,
Fabrikation,,fabrikieren,VVINF,249,0,1,,fabrizieren,VVINF,
Falsifikation,,falsifikieren,VVINF,97,0,1,,falsifizieren,VVINF,
Farbkombination,,farbkombinieren,VVINF,656,0,1,,,,Kombination
Faszination,,faszinieren,VVINF,4952,467,1,1.0,,,
Fermentation,,fermentieren,VVINF,181,0,1,1.0,,,
Fibrillation,,fibrillieren,VVINF,5,0,1,1.0,,,
Figuration,,figurieren,VVINF,156,15,1,1.0,,,
Filtration,,filtrieren,VVINF,247,28,1,1.0,,,
Fixation,,fixieren,VVINF,100,1230,1,1.0,,,
Flotation,,flotieren,VVINF,38,0,1,1.0,,,
Fluktuation,,fluktuieren,VVINF,746,12,1,1.0,,,
Föderation,,föderieren,VVINF,2663,0,1,1.0,,,
Formation,,formieren,VVINF,4311,358,1,1.0,,,
Frustration,,frustrieren,VVINF,1443,105,1,1.0,,,
Gegendemonstration,,gegendemonstrieren,VVINF,200,0,1,,,,Demonstration
Gegeninformation,,gegeninformieren,VVINF,11,0,1,,,,Information
Gegenprovokation,,gegenprovokieren,VVINF,4,0,1,,,,Provokation
Gegenreformation,,gegenreformieren,VVINF,300,0,1,,,,Reformation
Gegenstation,,gegenstieren,VVINF,36,0,1,,,,Station
Geheiminformation,,geheiminformieren,VVINF,18,0,1,,,,Information
Generalisation,,generalisieren,VVINF,18,72,1,1.0,,,
Generation,,generieren,VVINF,37437,2630,1,1.0,,,
Gesamtsituation,,gesamtsituieren,VVINF,449,0,1,,,,Situation
Gestikulation,,gestikulieren,VVINF,15,34,1,1.0,,,
Gradation,,gradieren,VVINF,118,0,1,1.0,,,
Granulation,,granulieren,VVINF,38,0,1,1.0,,,
Gratifikation,,gratifikieren,VVINF,186,0,1,,gratifizieren,VVINF,
Gratulation,,gratulieren,VVINF,2476,1840,1,1.0,,,
Gravitation,,gravitieren,VVINF,1296,0,1,1.0,,,
Habilitation,,habilitieren,VVINF,969,43,1,1.0,,,
Halluzination,,halluzinieren,VVINF,978,30,1,1.0,,,
Harmonisation,,harmonisieren,VVINF,2,288,1,1.0,,,
Hibernation,,hibernieren,VVINF,39,0,1,1.0,,,
Hilfsorganisation,,hilfsorganisieren,VVINF,2219,0,1,,,,Organisation
Hintergrundinformation,,hintergrundinformieren,VVINF,2178,0,1,,,,Information
Honoration,,honorieren,VVINF,21,481,1,1.0,,,
Hospitation,,hospitieren,VVINF,319,89,1,1.0,,,
Hydration,,hydrieren,VVINF,21,0,1,1.0,,,
Hyperinflation,,hyperinflieren,VVINF,297,0,1,,,,Inflation
Hyperkompensation,,hyperkompensieren,VVINF,1,0,1,,,,Kompensation
Hyperventilation,,hyperventilieren,VVINF,103,0,1,,,,Ventilation
Identifikation,,identifikieren,VVINF,3797,0,1,,identifizieren,VVINF,
Illumination,,illuminieren,VVINF,215,25,1,1.0,,,
Illustration,,illustrieren,VVINF,5342,455,1,1.0,,,
Imagination,,imaginieren,VVINF,798,40,1,1.0,,,
Imitation,,imitieren,VVINF,502,474,1,1.0,,,
Immatrikulation,,immatrikulieren,VVINF,479,83,1,1.0,,,
Immigration,,immigrieren,VVINF,505,10,1,1.0,,,
Implantation,,implantieren,VVINF,671,168,1,1.0,,,
Implementation,,implementieren,VVINF,552,1222,1,1.0,,,
Implikation,,implikieren,VVINF,1090,0,1,,implizieren,VVINF,
