lemma,true_lemma,merge
Chartist,1,
Reservist,1,
Marxist,1,
Exorzist,1,
Prosaist,1,
Bassist,1,
Grossist,1,
Klassist,1,
Kontrabassist,1,
Progressist,1,
Rassist,1,
Infantrist,1,
Metrist,1,
Zentrist,1,
Fagottist,1,
Kabarettist,1,
Klarinettist,1,
Librettist,1,
Nudist,1,
Populist,1,
Faunist,1,
Kommunist,1,
Opportunist,1,
Posaunist,1,
Futurist,1,
Jurist,1,
Karikaturist,1,
Manufakturist,1,
Prokurist,1,
Purist,1,
Tourist,1,
Autist,1,
Fauvist,1,
Playlist,1,
Stylist,1,
Daguerreotypist,1,
Trotzkist,1,
itarist,0,
Deist,0,
Fist,0,
Anmeldefrist,0,
Frist,0,
Jahresfrist,0,
Kündigungsfrist,0,
Nachfrist,0,
Schonfrist,0,
Sendesperrfrist,0,
Vorfrist,0,
Widerrufsfrist,0,
Widerspruchsfrist,0,
Zahlungsfrist,0,
Berggeist,0,
Flusgeist,0,
Geist,0,
Hausgeist,0,
Kampfgeist,0,
Naturgeist,0,
Poltergeist,0,
Quälgeist,0,
Sportsgeist,0,
Teamgeist,0,
Ungeist,0,
Waldgeist,0,
Zeitgeist,0,
Zweitgeist,0,
Siegrist,0,
Antichrist,0,
Christ,0,
Mitchrist,0,
Nichtchrist,0,
Prochrist,0,
Superchrist,0,
Urchrist,0,
Ist,0,
Bockmist,0,
List,0,
Mist,0,
Holist,0,
Polist,0,
Rist,0,
Widerrist,0,
Twist,0,
Zwist,0,
Hitlist,0,
Setlist,0,
trist,0,
