sfx,iter,factor,sample_size,n_types,entropy
-age,43,0.5,702,10,1.928091661600109
-age,43,0.25,351,11,1.8891615076820398
-age,43,0.125,176,9,1.9148150079339963
-age,43,0.0625,88,8,1.8932898710767676
-age,44,1.0,1403,14,1.9018441756530904
-age,44,0.5,702,12,1.9677751145013844
-age,44,0.25,351,10,1.9785751700773462
-age,44,0.125,176,9,1.9040825567237607
-age,44,0.0625,88,7,1.8343256634001472
-age,45,1.0,1403,14,1.9018441756530904
-age,45,0.5,702,11,1.9175527261473007
-age,45,0.25,351,9,1.7572976726517058
-age,45,0.125,176,9,1.8046440011663663
-age,45,0.0625,88,7,1.961899178742642
-age,46,1.0,1403,14,1.9018441756530904
-age,46,0.5,702,12,1.896939406428623
-age,46,0.25,351,8,1.7992702982338113
-age,46,0.125,176,9,1.9881190228369554
-age,46,0.0625,88,7,1.7921721867575708
-age,47,1.0,1403,14,1.9018441756530904
-age,47,0.5,702,11,1.8896106529941221
-age,47,0.25,351,10,1.936767252630659
-age,47,0.125,176,11,2.0812505845431546
-age,47,0.0625,88,6,1.600236419234712
-age,48,1.0,1403,14,1.9018441756530904
-age,48,0.5,702,12,1.865077809714766
-age,48,0.25,351,11,1.841931022472583
-age,48,0.125,176,10,1.7808437678905942
-age,48,0.0625,88,7,1.7939987144164633
-age,49,1.0,1403,14,1.9018441756530904
-age,49,0.5,702,13,1.8365596821772927
-age,49,0.25,351,10,1.8393323150413632
-age,49,0.125,176,10,1.8768711514820562
-age,49,0.0625,88,9,2.2118921285750113
-age,50,1.0,1403,14,1.9018441756530904
-age,50,0.5,702,12,1.8431096452807685
-age,50,0.25,351,9,1.9365705288923354
-age,50,0.125,176,9,1.8031343508695272
-age,50,0.0625,88,8,1.6747355185405453
-age,51,1.0,1403,14,1.9018441756530904
-age,51,0.5,702,12,1.9334440770777517
-age,51,0.25,351,8,1.845450971625039
-age,51,0.125,176,9,2.047515480696739
-age,51,0.0625,88,7,1.811776911947221
-age,52,1.0,1403,14,1.9018441756530904
-age,52,0.5,702,10,1.8291733685211797
-age,52,0.25,351,10,1.7974998282742118
-age,52,0.125,176,8,1.7188606166916678
-age,52,0.0625,88,6,1.7575655781482897
-age,53,1.0,1403,14,1.9018441756530904
-age,53,0.5,702,13,1.938440321175298
-age,53,0.25,351,10,1.7996787397889085
-age,53,0.125,176,10,1.8010686394598208
-age,53,0.0625,88,6,1.5924046947014932
-age,54,1.0,1403,14,1.9018441756530904
-age,54,0.5,702,10,1.9017520588198042
-age,54,0.25,351,10,1.9421507918660976
-age,54,0.125,176,9,1.833608355574244
-age,54,0.0625,88,7,1.86567972165813
-age,55,1.0,1403,14,1.9018441756530904
-age,55,0.5,702,12,1.838434001125187
-age,55,0.25,351,10,1.9333006875100203
-age,55,0.125,176,9,2.037996546062912
-age,55,0.0625,88,8,1.9006763463096894
-age,56,1.0,1403,14,1.9018441756530904
-age,56,0.5,702,11,1.9179631330189646
-age,56,0.25,351,9,1.8006152175387717
-age,56,0.125,176,10,1.8593540663849055
-age,56,0.0625,88,8,1.8168183874532329
-age,57,1.0,1403,14,1.9018441756530904
-age,57,0.5,702,12,1.894224776019353
-age,57,0.25,351,11,2.021371842569703
-age,57,0.125,176,9,1.7333439674339646
-age,57,0.0625,88,8,1.7890009735412373
-age,58,1.0,1403,14,1.9018441756530904
-age,58,0.5,702,13,1.9963968727886778
-age,58,0.25,351,11,1.953586757228942
-age,58,0.125,176,6,1.8591296116725495
-age,58,0.0625,88,7,1.6162012517842512
-age,59,1.0,1403,14,1.9018441756530904
-age,59,0.5,702,11,1.8709676148778596
-age,59,0.25,351,9,1.8797137125370587
-age,59,0.125,176,9,1.9138185217770187
-age,59,0.0625,88,9,1.8757827256233077
-age,60,1.0,1403,14,1.9018441756530904
-age,60,0.5,702,11,1.9093125432619542
-age,60,0.25,351,9,1.829956149192185
-age,60,0.125,176,12,1.9599175240547746
-age,60,0.0625,88,8,1.8499496512225548
-age,61,1.0,1403,14,1.9018441756530904
-age,61,0.5,702,12,1.9129349929535795
-age,61,0.25,351,10,1.7764781041327313
-age,61,0.125,176,10,2.0030436392805546
-age,61,0.0625,88,8,1.9220033220532025
-age,62,1.0,1403,14,1.9018441756530904
-age,62,0.5,702,10,1.972245254755202
-age,62,0.25,351,8,1.800532013632436
-age,62,0.125,176,9,1.7902895622226054
-age,62,0.0625,88,6,1.5860874135774783
-age,63,1.0,1403,14,1.9018441756530904
-age,63,0.5,702,13,1.9915450903666359
-age,63,0.25,351,11,1.8753552082698994
-age,63,0.125,176,7,1.774770068417075
-age,63,0.0625,88,8,1.8443789126353611
-age,64,1.0,1403,14,1.9018441756530904
-age,64,0.5,702,11,1.8653421608317278
-age,64,0.25,351,8,1.8360479432550492
-age,64,0.125,176,11,1.9954250162202158
-age,64,0.0625,88,6,1.7656796850866785
-age,65,1.0,1403,14,1.9018441756530904
-age,65,0.5,702,14,1.936740027533916
-age,65,0.25,351,9,1.8722340210678399
-age,65,0.125,176,8,1.7717544865194572
-age,65,0.0625,88,7,1.8510701976124673
-age,66,1.0,1403,14,1.9018441756530904
-age,66,0.5,702,12,1.8935895152245452
-age,66,0.25,351,11,1.8144205943180223
-age,66,0.125,176,10,1.736671970317389
-age,66,0.0625,88,8,1.9062378450246646
-age,67,1.0,1403,14,1.9018441756530904
-age,67,0.5,702,12,1.861617549962074
-age,67,0.25,351,9,1.7150383593946437
-age,67,0.125,176,7,1.8153020031232494
-age,67,0.0625,88,9,1.807105285495581
-age,68,1.0,1403,14,1.9018441756530904
-age,68,0.5,702,11,1.8726772197104302
-age,68,0.25,351,9,1.7430193414238178
-age,68,0.125,176,8,1.8745281527915034
-age,68,0.0625,88,7,1.68321776012994
-age,69,1.0,1403,14,1.9018441756530904
-age,69,0.5,702,12,1.8745966924164659
-age,69,0.25,351,11,1.9722075749690513
-age,69,0.125,176,8,1.7875584508301894
-age,69,0.0625,88,8,1.8387615670997286
-age,70,1.0,1403,14,1.9018441756530904
-age,70,0.5,702,11,1.951437780318736
-age,70,0.25,351,11,1.8336764518639566
-age,70,0.125,176,6,1.5696475827885803
-age,70,0.0625,88,9,1.9139317361493577
-age,71,1.0,1403,14,1.9018441756530904
-age,71,0.5,702,12,1.9162722423871295
-age,71,0.25,351,9,1.8241060543592102
-age,71,0.125,176,11,1.9901972617480712
-age,71,0.0625,88,6,1.556628385636008
-age,72,1.0,1403,14,1.9018441756530904
-age,72,0.5,702,11,1.9359853449588085
-age,72,0.25,351,10,1.9044095987303276
-age,72,0.125,176,8,1.7822118444955437
-age,72,0.0625,88,7,1.893918521228499
-age,73,1.0,1403,14,1.9018441756530904
-age,73,0.5,702,14,1.9341507197739112
-age,73,0.25,351,12,1.9628333990728326
-age,73,0.125,176,11,2.0508126732673153
-age,73,0.0625,88,7,1.8279862506483429
-age,74,1.0,1403,14,1.9018441756530904
-age,74,0.5,702,13,1.9681556641510984
-age,74,0.25,351,9,1.8959321152289694
-age,74,0.125,176,9,1.8407161665743097
-age,74,0.0625,88,7,1.7888711179456016
-age,75,1.0,1403,14,1.9018441756530904
-age,75,0.5,702,12,1.9085331952967775
-age,75,0.25,351,10,1.846169220040774
-age,75,0.125,176,8,2.049556564995948
-age,75,0.0625,88,8,1.8866932405683798
-age,76,1.0,1403,14,1.9018441756530904
-age,76,0.5,702,11,1.864043557669033
-age,76,0.25,351,10,1.9178354172528562
-age,76,0.125,176,9,1.734234906889829
-age,76,0.0625,88,7,1.5441451842380634
-age,77,1.0,1403,14,1.9018441756530904
-age,77,0.5,702,13,1.948530060751195
-age,77,0.25,351,10,1.835610372611524
-age,77,0.125,176,9,1.9089371231723862
-age,77,0.0625,88,8,2.0024876340364126
-age,78,1.0,1403,14,1.9018441756530904
-age,78,0.5,702,11,1.8310383691311354
-age,78,0.25,351,11,1.862267376041913
-age,78,0.125,176,9,2.0216028162937096
-age,78,0.0625,88,6,1.8837560315852013
-age,79,1.0,1403,14,1.9018441756530904
-age,79,0.5,702,11,1.8415528398276813
-age,79,0.25,351,11,1.8848019669205356
-age,79,0.125,176,9,1.9447871216180157
-age,79,0.0625,88,9,1.7894220349606333
-age,80,1.0,1403,14,1.9018441756530904
-age,80,0.5,702,12,1.8913624754806815
-age,80,0.25,351,9,1.807731482982803
-age,80,0.125,176,9,1.7358532676514724
-age,80,0.0625,88,7,1.4534340889453334
-age,81,1.0,1403,14,1.9018441756530904
-age,81,0.5,702,13,1.933744558426499
-age,81,0.25,351,11,1.9532526808047792
-age,81,0.125,176,10,1.922545891871203
-age,81,0.0625,88,7,1.8200488618546904
-age,82,1.0,1403,14,1.9018441756530904
-age,82,0.5,702,14,1.931939095850987
-age,82,0.25,351,11,1.8600283742485475
-age,82,0.125,176,8,1.7884090669269586
-age,82,0.0625,88,9,1.953302725139168
-age,83,1.0,1403,14,1.9018441756530904
-age,83,0.5,702,11,1.8291683387939377
-age,83,0.25,351,9,1.8304753164795737
-age,83,0.125,176,6,1.6462770210516193
-age,83,0.0625,88,7,1.9026704291740573
-age,84,1.0,1403,14,1.9018441756530904
-age,84,0.5,702,12,1.8676411363030925
-age,84,0.25,351,13,1.8544235692315334
-age,84,0.125,176,9,1.9516247551096428
-age,84,0.0625,88,7,2.1563217373669112
-age,85,1.0,1403,14,1.9018441756530904
-age,85,0.5,702,10,1.8176604119461672
-age,85,0.25,351,9,1.7971110483304786
-age,85,0.125,176,8,1.7989510553591366
-age,85,0.0625,88,8,1.8972844468788934
-age,86,1.0,1403,14,1.9018441756530904
-age,86,0.5,702,14,1.9288012247418376
-age,86,0.25,351,12,1.9206126632241207
-age,86,0.125,176,10,1.9156860166107548
-age,86,0.0625,88,8,1.9807904908650058
-age,87,1.0,1403,14,1.9018441756530904
-age,87,0.5,702,12,1.8664614885147957
-age,87,0.25,351,8,1.6629392789344486
-age,87,0.125,176,9,1.972042189683699
-age,87,0.0625,88,7,1.7662737008139646
-age,88,1.0,1403,14,1.9018441756530904
-age,88,0.5,702,13,1.9102007668681704
-age,88,0.25,351,11,1.8626681029730467
-age,88,0.125,176,9,1.8619765650704632
-age,88,0.0625,88,9,1.9347551338875486
-age,89,1.0,1403,14,1.9018441756530904
-age,89,0.5,702,12,1.883170944839144
-age,89,0.25,351,11,1.7381167849307972
-age,89,0.125,176,9,1.8718808310680666
-age,89,0.0625,88,7,1.86251561579755
-age,90,1.0,1403,14,1.9018441756530904
-age,90,0.5,702,12,1.9415712060044918
-age,90,0.25,351,11,1.899646354327299
-age,90,0.125,176,12,1.9625639768328542
-age,90,0.0625,88,7,1.5445550834878374
-age,91,1.0,1403,14,1.9018441756530904
-age,91,0.5,702,13,1.985040186559754
-age,91,0.25,351,10,1.93957610430831
-age,91,0.125,176,9,1.781552542654327
-age,91,0.0625,88,6,1.6746508364366577
-age,92,1.0,1403,14,1.9018441756530904
-age,92,0.5,702,11,1.9156397628991124
-age,92,0.25,351,10,1.844368257528258
-age,92,0.125,176,9,1.804493123192621
-age,92,0.0625,88,8,2.0537278415863485
-age,93,1.0,1403,14,1.9018441756530904
-age,93,0.5,702,13,1.892500666460355
-age,93,0.25,351,13,1.9491943818891166
-age,93,0.125,176,8,1.9198043696789424
-age,93,0.0625,88,8,1.8305437807472582
-age,94,1.0,1403,14,1.9018441756530904
-age,94,0.5,702,12,1.9029836349428018
-age,94,0.25,351,9,1.7130668492904717
-age,94,0.125,176,9,1.8522157830427532
-age,94,0.0625,88,6,1.5192397858042743
-age,95,1.0,1403,14,1.9018441756530904
-age,95,0.5,702,13,1.8761409753641678
-age,95,0.25,351,11,1.837750240650511
-age,95,0.125,176,9,1.7253677020764782
-age,95,0.0625,88,8,1.7497483061810553
-age,96,1.0,1403,14,1.9018441756530904
-age,96,0.5,702,11,1.9287288812039203
-age,96,0.25,351,10,1.8886017240009465
-age,96,0.125,176,9,1.6096029497115385
-age,96,0.0625,88,8,1.8541448845107251
-age,97,1.0,1403,14,1.9018441756530904
-age,97,0.5,702,12,1.868752874143647
-age,97,0.25,351,8,1.825894767306637
-age,97,0.125,176,8,1.8138493771072497
-age,97,0.0625,88,7,1.7076257280961669
-age,98,1.0,1403,14,1.9018441756530904
-age,98,0.5,702,11,1.8540235580721258
-age,98,0.25,351,9,1.898443582705668
-age,98,0.125,176,10,1.92701659532894
-age,98,0.0625,88,7,1.718978409785559
-age,99,1.0,1403,14,1.9018441756530904
-age,99,0.5,702,12,1.8627069100963538
-age,99,0.25,351,9,2.006877908627826
-age,99,0.125,176,8,1.7923500605665894
-age,99,0.0625,88,8,1.9867291855496847
-age,100,1.0,1403,14,1.9018441756530904
-age,100,0.5,702,13,2.010174507084552
-age,100,0.25,351,10,1.9738433043623715
-age,100,0.125,176,8,1.8595673049095582
-age,100,0.0625,88,8,2.033396168535088
-ament,1,1.0,4452,3,1.1474127487775143
-ament,1,0.5,2226,3,1.1411483902721467
-ament,1,0.25,1113,3,1.1605818069583156
-ament,1,0.125,557,3,1.1797168703742125
-ament,1,0.0625,279,3,1.172380221956458
-ament,2,1.0,4452,3,1.1474127487775143
-ament,2,0.5,2226,3,1.1558019140796074
-ament,2,0.25,1113,3,1.1864911665804458
-ament,2,0.125,557,3,1.1420142300261527
-ament,2,0.0625,279,3,1.0719527163356077
-ament,3,1.0,4452,3,1.1474127487775143
-ament,3,0.5,2226,3,1.1544765237441463
-ament,3,0.25,1113,3,1.147540187110929
-ament,3,0.125,557,3,1.1175346234273902
-ament,3,0.0625,279,3,1.1729896852926858
-ament,4,1.0,4452,3,1.1474127487775143
-ament,4,0.5,2226,3,1.136744120947515
-ament,4,0.25,1113,3,1.1409713034569198
-ament,4,0.125,557,3,1.167783760673097
-ament,4,0.0625,279,3,1.1848871643789958
-ament,5,1.0,4452,3,1.1474127487775143
-ament,5,0.5,2226,3,1.146067546811878
-ament,5,0.25,1113,3,1.14701003500341
-ament,5,0.125,557,3,1.19941749764527
-ament,5,0.0625,279,3,1.1255672148525122
-ament,6,1.0,4452,3,1.1474127487775143
-ament,6,0.5,2226,3,1.1441284695024372
-ament,6,0.25,1113,3,1.1351207303805326
-ament,6,0.125,557,3,1.14223068005053
-ament,6,0.0625,279,3,1.0871340067178636
-ament,7,1.0,4452,3,1.1474127487775143
-ament,7,0.5,2226,3,1.1492057468945247
-ament,7,0.25,1113,3,1.1434252609547864
-ament,7,0.125,557,3,1.1340216380739274
-ament,7,0.0625,279,3,1.1539701391448933
-ament,8,1.0,4452,3,1.1474127487775143
-ament,8,0.5,2226,3,1.1506453151508838
-ament,8,0.25,1113,3,1.1546947035139015
-ament,8,0.125,557,3,1.1483709755798204
-ament,8,0.0625,279,3,1.1282965205031472
-ament,9,1.0,4452,3,1.1474127487775143
-ament,9,0.5,2226,3,1.1478588561946235
-ament,9,0.25,1113,3,1.1467428274401728
-ament,9,0.125,557,3,1.1211694248975677
-ament,9,0.0625,279,3,1.1201454587979391
-ament,10,1.0,4452,3,1.1474127487775143
-ament,10,0.5,2226,3,1.1622110552848666
-ament,10,0.25,1113,3,1.1561410633865226
-ament,10,0.125,557,3,1.1409698200136442
-ament,10,0.0625,279,3,1.1267048535591673
-ament,11,1.0,4452,3,1.1474127487775143
-ament,11,0.5,2226,3,1.1446012811493833
-ament,11,0.25,1113,3,1.1612313172453814
-ament,11,0.125,557,3,1.1546909542496249
-ament,11,0.0625,279,3,1.1396138531736375
-ament,12,1.0,4452,3,1.1474127487775143
-ament,12,0.5,2226,3,1.1398109964400722
-ament,12,0.25,1113,3,1.1351881849634025
-ament,12,0.125,557,3,1.1413137658290216
-ament,12,0.0625,279,3,1.1248843375608202
-ament,13,1.0,4452,3,1.1474127487775143
-ament,13,0.5,2226,3,1.130993602893573
-ament,13,0.25,1113,3,1.1391612915327554
-ament,13,0.125,557,3,1.1307787796133264
-ament,13,0.0625,279,3,1.0719527163356077
-ament,14,1.0,4452,3,1.1474127487775143
-ament,14,0.5,2226,3,1.1382400638590477
-ament,14,0.25,1113,3,1.1646324728133919
-ament,14,0.125,557,3,1.1284371485488123
-ament,14,0.0625,279,3,1.0712396429573308
-ament,15,1.0,4452,3,1.1474127487775143
-ament,15,0.5,2226,3,1.1486656540197835
-ament,15,0.25,1113,3,1.1605818069583156
-ament,15,0.125,557,3,1.1353440555511611
-ament,15,0.0625,279,3,1.1868105588909021
-ament,16,1.0,4452,3,1.1474127487775143
-ament,16,0.5,2226,3,1.1511453340750049
-ament,16,0.25,1113,3,1.1310967560171135
-ament,16,0.125,557,3,1.1702687372987546
-ament,16,0.0625,279,3,1.1440066687400925
-ament,17,1.0,4452,3,1.1474127487775143
-ament,17,0.5,2226,3,1.1687939079202225
-ament,17,0.25,1113,3,1.158667528148497
-ament,17,0.125,557,3,1.1618273692786927
-ament,17,0.0625,279,3,1.1869643538342842
-ament,18,1.0,4452,3,1.1474127487775143
-ament,18,0.5,2226,3,1.1384374751178326
-ament,18,0.25,1113,3,1.1704646536326513
-ament,18,0.125,557,3,1.1363750987100998
-ament,18,0.0625,279,3,1.1365792214655408
-ament,19,1.0,4452,3,1.1474127487775143
-ament,19,0.5,2226,3,1.1377066511969587
-ament,19,0.25,1113,3,1.1580136671840615
-ament,19,0.125,557,3,1.2002892038499269
-ament,19,0.0625,279,3,1.154712690532118
-ament,20,1.0,4452,3,1.1474127487775143
-ament,20,0.5,2226,3,1.1479963951544736
-ament,20,0.25,1113,3,1.136451382258733
-ament,20,0.125,557,3,1.096729895907913
-ament,20,0.0625,279,3,1.1302738585561827
-ament,21,1.0,4452,3,1.1474127487775143
-ament,21,0.5,2226,3,1.126203731920128
-ament,21,0.25,1113,3,1.1616049523907097
-ament,21,0.125,557,3,1.092881997586899
-ament,21,0.0625,279,3,1.1618995644043253
-ament,22,1.0,4452,3,1.1474127487775143
-ament,22,0.5,2226,3,1.1539700652798641
-ament,22,0.25,1113,3,1.1448701201330935
-ament,22,0.125,557,3,1.1792005714132827
-ament,22,0.0625,279,3,1.2287568551107313
-ament,23,1.0,4452,3,1.1474127487775143
-ament,23,0.5,2226,3,1.1591377690952978
-ament,23,0.25,1113,3,1.14351736726106
-ament,23,0.125,557,3,1.1464375354528473
-ament,23,0.0625,279,3,1.104271705129366
-ament,24,1.0,4452,3,1.1474127487775143
-ament,24,0.5,2226,3,1.1587433421385862
-ament,24,0.25,1113,3,1.1584263756022615
-ament,24,0.125,557,3,1.1645944684341332
-ament,24,0.0625,279,3,1.1278418806525552
