sfx,iter,factor,sample_size,n_types,entropy
-nis,57,0.0625,1195,41,4.141322281899498
-nis,58,1.0,19119,52,4.2054017947046685
-nis,58,0.5,9560,50,4.186989657678035
-nis,58,0.25,4780,50,4.18811694120132
-nis,58,0.125,2390,44,4.198482290073974
-nis,58,0.0625,1195,46,4.20102888448204
-nis,59,1.0,19119,53,4.190801184682742
-nis,59,0.5,9560,52,4.188846710362216
-nis,59,0.25,4780,50,4.23439583521
-nis,59,0.125,2390,51,4.210077209167231
-nis,59,0.0625,1195,43,4.179302806513644
-nis,60,1.0,19119,51,4.17923844818327
-nis,60,0.5,9560,50,4.20305199802023
-nis,60,0.25,4780,49,4.166628463425384
-nis,60,0.125,2390,49,4.204573099129955
-nis,60,0.0625,1195,42,4.194252782320128
-nis,61,1.0,19119,51,4.203958160962638
-nis,61,0.5,9560,51,4.181206219306176
-nis,61,0.25,4780,49,4.218374513930393
-nis,61,0.125,2390,44,4.164953087626199
-nis,61,0.0625,1195,47,4.21844763508305
-nis,62,1.0,19119,53,4.201196261476521
-nis,62,0.5,9560,52,4.218327560677385
-nis,62,0.25,4780,48,4.189140914341203
-nis,62,0.125,2390,46,4.1736676556753824
-nis,62,0.0625,1195,43,4.115406389741139
-nis,63,1.0,19119,52,4.216051175218322
-nis,63,0.5,9560,52,4.212498998021156
-nis,63,0.25,4780,50,4.226889212755638
-nis,63,0.125,2390,48,4.211171936482005
-nis,63,0.0625,1195,44,4.237404938831492
-nis,64,1.0,19119,52,4.208030955455233
-nis,64,0.5,9560,50,4.186158013007271
-nis,64,0.25,4780,49,4.177111292651538
-nis,64,0.125,2390,44,4.183810921918346
-nis,64,0.0625,1195,43,4.227517588112702
-nis,65,1.0,19119,51,4.180030766427547
-nis,65,0.5,9560,49,4.200050088902673
-nis,65,0.25,4780,50,4.166689903170386
-nis,65,0.125,2390,46,4.220552567369684
-nis,65,0.0625,1195,45,4.122712301654931
-nis,66,1.0,19119,51,4.1988631036700745
-nis,66,0.5,9560,50,4.181531792060093
-nis,66,0.25,4780,47,4.180610918235381
-nis,66,0.125,2390,45,4.105883679383575
-nis,66,0.0625,1195,44,4.1126227699539015
-nis,67,1.0,19119,50,4.206685151093545
-nis,67,0.5,9560,52,4.201147348041992
-nis,67,0.25,4780,49,4.169276493574366
-nis,67,0.125,2390,45,4.182323029342438
-nis,67,0.0625,1195,46,4.268270884936075
-nis,68,1.0,19119,53,4.200176210578502
-nis,68,0.5,9560,52,4.196712626047027
-nis,68,0.25,4780,49,4.187142294124424
-nis,68,0.125,2390,47,4.244741931243734
-nis,68,0.0625,1195,41,4.091370507726866
-nis,69,1.0,19119,52,4.206680573226489
-nis,69,0.5,9560,51,4.214521434569316
-nis,69,0.25,4780,47,4.170407601679074
-nis,69,0.125,2390,50,4.189736148541904
-nis,69,0.0625,1195,43,4.12231057655159
-nis,70,1.0,19119,53,4.191820332483077
-nis,70,0.5,9560,51,4.168534759162917
-nis,70,0.25,4780,50,4.190697213434501
-nis,70,0.125,2390,46,4.237331805342951
-nis,70,0.0625,1195,45,4.238580951774434
-nis,71,1.0,19119,51,4.208371398595059
-nis,71,0.5,9560,52,4.218433417032362
-nis,71,0.25,4780,49,4.194929569621781
-nis,71,0.125,2390,48,4.23974931727716
-nis,71,0.0625,1195,41,4.176363235864643
-nis,72,1.0,19119,52,4.197813790245198
-nis,72,0.5,9560,51,4.224252818495093
-nis,72,0.25,4780,48,4.181957942523702
-nis,72,0.125,2390,45,4.168721515675416
-nis,72,0.0625,1195,44,4.155235942537937
-nis,73,1.0,19119,52,4.182477365599638
-nis,73,0.5,9560,50,4.184967589669792
-nis,73,0.25,4780,51,4.188850391562327
-nis,73,0.125,2390,44,4.168670834463166
-nis,73,0.0625,1195,41,4.131212598321102
-nis,74,1.0,19119,51,4.176763997167253
-nis,74,0.5,9560,51,4.169551479762991
-nis,74,0.25,4780,49,4.203616458059465
-nis,74,0.125,2390,48,4.237699936603677
-nis,74,0.0625,1195,46,4.25289374796611
-nis,75,1.0,19119,52,4.180226158936754
-nis,75,0.5,9560,52,4.172893454591301
-nis,75,0.25,4780,49,4.194504312705785
-nis,75,0.125,2390,49,4.212491905733316
-nis,75,0.0625,1195,46,4.111629798768524
-nis,76,1.0,19119,51,4.213164682906091
-nis,76,0.5,9560,51,4.1917450795119935
