sfx,iter,period,factor,sample_size,n_types,entropy
er,12,1850-1914,0.0625,4,1,0.0
er,13,1850-1914,1.0,56,19,3.719217476172827
er,13,1850-1914,0.5,28,14,3.3693312611115176
er,13,1850-1914,0.25,14,12,3.467720100474499
er,13,1850-1914,0.125,7,7,2.8073549220576037
er,13,1850-1914,0.0625,4,4,2.0
er,14,1850-1914,1.0,56,18,3.5344225557157416
er,14,1850-1914,0.5,28,15,3.4946803684089085
er,14,1850-1914,0.25,14,11,3.3248629576173565
er,14,1850-1914,0.125,7,6,2.521640636343318
er,14,1850-1914,0.0625,4,3,1.5
er,15,1850-1914,1.0,56,22,3.9404738962721693
er,15,1850-1914,0.5,28,14,3.553090083530327
er,15,1850-1914,0.25,14,10,3.1820058147602133
er,15,1850-1914,0.125,7,6,2.521640636343318
er,15,1850-1914,0.0625,4,3,1.5
er,16,1850-1914,1.0,56,20,3.94594722638747
er,16,1850-1914,0.5,28,21,4.1644977792004605
er,16,1850-1914,0.25,14,10,3.1820058147602133
er,16,1850-1914,0.125,7,6,2.521640636343318
er,16,1850-1914,0.0625,4,4,2.0
er,17,1850-1914,1.0,56,25,4.176993762304964
er,17,1850-1914,0.5,28,18,4.03914867190307
er,17,1850-1914,0.25,14,10,3.1820058147602133
er,17,1850-1914,0.125,7,6,2.521640636343318
er,17,1850-1914,0.0625,4,3,1.5
er,18,1850-1914,1.0,56,23,4.163799564605679
er,18,1850-1914,0.5,28,18,3.8962915290459272
er,18,1850-1914,0.25,14,8,2.6644977792004614
er,18,1850-1914,0.125,7,7,2.8073549220576037
er,18,1850-1914,0.0625,4,4,2.0
er,19,1850-1914,1.0,56,23,4.051383087370029
er,19,1850-1914,0.5,28,11,2.9751060324573735
er,19,1850-1914,0.25,14,10,3.1820058147602133
er,19,1850-1914,0.125,7,5,2.2359263506290326
er,19,1850-1914,0.0625,4,4,2.0
er,20,1850-1914,1.0,56,28,4.4200230564913365
er,20,1850-1914,0.5,28,16,3.780394654123194
er,20,1850-1914,0.25,14,8,2.842370993177109
er,20,1850-1914,0.125,7,5,2.2359263506290326
er,20,1850-1914,0.0625,4,3,1.5
er,21,1850-1914,1.0,56,22,4.015592485849793
er,21,1850-1914,0.5,28,18,3.8693312611115176
er,21,1850-1914,0.25,14,12,3.5216406363433177
er,21,1850-1914,0.125,7,5,2.2359263506290326
er,21,1850-1914,0.0625,4,4,2.0
er,22,1850-1914,1.0,56,25,4.234942199766332
er,22,1850-1914,0.5,28,16,3.624518654958899
er,22,1850-1914,0.25,14,12,3.467720100474499
er,22,1850-1914,0.125,7,6,2.521640636343318
er,22,1850-1914,0.0625,4,4,2.0
er,23,1850-1914,1.0,56,21,3.8649129435059733
er,23,1850-1914,0.5,28,15,3.624518654958899
er,23,1850-1914,0.25,14,8,2.692380602454975
er,23,1850-1914,0.125,7,6,2.521640636343318
er,23,1850-1914,0.0625,4,4,2.0
er,24,1850-1914,1.0,56,24,4.0683535294637805
er,24,1850-1914,0.5,28,13,3.381778244882831
er,24,1850-1914,0.25,14,10,3.1820058147602133
er,24,1850-1914,0.125,7,5,2.128085278891394
er,24,1850-1914,0.0625,4,2,0.8112781244591328
er,25,1850-1914,1.0,56,23,3.9807017298694287
er,25,1850-1914,0.5,28,15,3.521640636343318
er,25,1850-1914,0.25,14,9,2.9502120649147474
er,25,1850-1914,0.125,7,5,2.2359263506290326
er,25,1850-1914,0.0625,4,3,1.5
er,26,1850-1914,1.0,56,24,4.161269038711461
er,26,1850-1914,0.5,28,18,3.9946803684089085
er,26,1850-1914,0.25,14,12,3.5216406363433177
er,26,1850-1914,0.125,7,5,2.128085278891394
er,26,1850-1914,0.0625,4,4,2.0
er,27,1850-1914,1.0,56,23,4.104529092838117
er,27,1850-1914,0.5,28,17,3.8388043692446128
er,27,1850-1914,0.25,14,11,3.378783493486175
er,27,1850-1914,0.125,7,6,2.521640636343318
er,27,1850-1914,0.0625,4,3,1.5
er,28,1850-1914,1.0,56,25,4.449975127980018
er,28,1850-1914,0.5,28,11,2.91828874385828
er,28,1850-1914,0.25,14,11,3.378783493486175
er,28,1850-1914,0.125,7,6,2.521640636343318
er,28,1850-1914,0.0625,4,4,2.0
er,29,1850-1914,1.0,56,22,4.059313575415983
er,29,1850-1914,0.5,28,15,3.7229074943218796
er,29,1850-1914,0.25,14,12,3.5216406363433177
er,29,1850-1914,0.125,7,6,2.521640636343318
er,29,1850-1914,0.0625,4,2,0.8112781244591328
er,30,1850-1914,1.0,56,23,4.221748002067046
er,30,1850-1914,0.5,28,19,4.06610893983748
er,30,1850-1914,0.25,14,10,3.09306920777189
er,30,1850-1914,0.125,7,7,2.8073549220576037
er,30,1850-1914,0.0625,4,3,1.5
er,31,1850-1914,1.0,56,20,3.8932624985794337
er,31,1850-1914,0.5,28,16,3.824862957617356
er,31,1850-1914,0.25,14,10,3.1820058147602133
er,31,1850-1914,0.125,7,5,2.2359263506290326
er,31,1850-1914,0.0625,4,4,2.0
er,32,1850-1914,1.0,56,19,3.961210672320922
er,32,1850-1914,0.5,28,15,3.6820058147602133
er,32,1850-1914,0.25,14,9,2.835237745312118
er,32,1850-1914,0.125,7,5,2.128085278891394
er,32,1850-1914,0.0625,4,4,2.0
er,33,1850-1914,1.0,56,18,3.714048996796926
er,33,1850-1914,0.5,28,14,3.405171888884745
er,33,1850-1914,0.25,14,9,2.985228136034251
er,33,1850-1914,0.125,7,6,2.521640636343318
er,33,1850-1914,0.0625,4,3,1.5
er,34,1850-1914,1.0,56,22,4.1449694947397315
er,34,1850-1914,0.5,28,12,3.35274578087187
er,34,1850-1914,0.25,14,13,3.6644977792004605
er,34,1850-1914,0.125,7,6,2.521640636343318
er,34,1850-1914,0.0625,4,3,1.5
er,35,1850-1914,1.0,56,24,4.109255209025446
er,35,1850-1914,0.5,28,15,3.6514789228933084
er,35,1850-1914,0.25,14,9,2.835237745312118
er,35,1850-1914,0.125,7,6,2.521640636343318
er,35,1850-1914,0.0625,4,4,2.0
er,36,1850-1914,1.0,56,21,4.06582300356956
er,36,1850-1914,0.5,28,16,3.624518654958899
er,36,1850-1914,0.25,14,11,3.235926350629033
er,36,1850-1914,0.125,7,4,1.8423709931771086
er,36,1850-1914,0.0625,4,4,2.0
er,37,1850-1914,1.0,56,26,4.351537289283845
er,37,1850-1914,0.5,28,15,3.5785559236087936
er,37,1850-1914,0.25,14,11,3.235926350629033
er,37,1850-1914,0.125,7,6,2.521640636343318
er,37,1850-1914,0.0625,4,4,2.0
er,38,1850-1914,1.0,56,23,4.106312404804365
er,38,1850-1914,0.5,28,15,3.624518654958899
er,38,1850-1914,0.25,14,11,3.3248629576173565
er,38,1850-1914,0.125,7,5,2.2359263506290326
er,38,1850-1914,0.0625,4,3,1.5
er,39,1850-1914,1.0,56,21,3.9503874063068785
er,39,1850-1914,0.5,28,16,3.6499844950373648
er,39,1850-1914,0.25,14,9,3.039148671903071
er,39,1850-1914,0.125,7,6,2.521640636343318
er,39,1850-1914,0.0625,4,3,1.5
er,40,1850-1914,1.0,56,20,3.6861600584117022
er,40,1850-1914,0.5,28,14,3.5495234595978316
er,40,1850-1914,0.25,14,11,3.378783493486175
er,40,1850-1914,0.125,7,6,2.521640636343318
er,40,1850-1914,0.0625,4,4,2.0
er,41,1850-1914,1.0,56,25,4.2509528596277555
er,41,1850-1914,0.5,28,13,3.0641893753728273
er,41,1850-1914,0.25,14,12,3.5216406363433177
er,41,1850-1914,0.125,7,6,2.521640636343318
er,41,1850-1914,0.0625,4,4,2.0
er,42,1850-1914,1.0,56,20,3.9102329406731844
er,42,1850-1914,0.5,28,17,3.6375375112660513
er,42,1850-1914,0.25,14,9,2.9502120649147474
er,42,1850-1914,0.125,7,7,2.8073549220576037
er,42,1850-1914,0.0625,4,3,1.5
er,43,1850-1914,1.0,56,24,4.136839296671271
er,43,1850-1914,0.5,28,14,3.5121884039686613
er,43,1850-1914,0.25,14,9,2.835237745312118
er,43,1850-1914,0.125,7,6,2.521640636343318
er,43,1850-1914,0.0625,4,4,2.0
er,44,1850-1914,1.0,56,23,4.201709440613073
er,44,1850-1914,0.5,28,13,3.1820058147602137
er,44,1850-1914,0.25,14,9,3.039148671903071
er,44,1850-1914,0.125,7,6,2.521640636343318
er,44,1850-1914,0.0625,4,4,2.0
er,45,1850-1914,1.0,56,22,3.9911656916519878
er,45,1850-1914,0.5,28,19,4.008621780036165
er,45,1850-1914,0.25,14,8,2.753434386188785
er,45,1850-1914,0.125,7,5,2.2359263506290326
er,45,1850-1914,0.0625,4,4,2.0
er,46,1850-1914,1.0,56,23,4.130329868517693
er,46,1850-1914,0.5,28,14,3.485228136034251
er,46,1850-1914,0.25,14,10,3.128085278891394
er,46,1850-1914,0.125,7,6,2.521640636343318
er,46,1850-1914,0.0625,4,4,2.0
er,47,1850-1914,1.0,56,25,4.368009226805322
er,47,1850-1914,0.5,28,19,4.06610893983748
er,47,1850-1914,0.25,14,7,2.2608203181716595
er,47,1850-1914,0.125,7,4,1.950212064914747
er,47,1850-1914,0.0625,4,4,2.0
er,48,1850-1914,1.0,56,23,4.0753242352774075
er,48,1850-1914,0.5,28,14,3.2943360657504512
er,48,1850-1914,0.25,14,9,3.0930692077718893
er,48,1850-1914,0.125,7,6,2.521640636343318
er,48,1850-1914,0.0625,4,4,2.0
er,49,1850-1914,1.0,56,19,3.8997719267330098
er,49,1850-1914,0.5,28,15,3.551595655674384
er,49,1850-1914,0.25,14,8,2.753434386188785
er,49,1850-1914,0.125,7,6,2.521640636343318
er,49,1850-1914,0.0625,4,3,1.5
er,50,1850-1914,1.0,56,22,3.933964468118593
er,50,1850-1914,0.5,28,16,3.824862957617356
er,50,1850-1914,0.25,14,10,3.1820058147602133
er,50,1850-1914,0.125,7,7,2.8073549220576037
er,50,1850-1914,0.0625,4,4,2.0
er,51,1850-1914,1.0,56,25,4.2374727256605516
er,51,1850-1914,0.5,28,11,2.8453657445737646
er,51,1850-1914,0.25,14,10,3.1820058147602133
er,51,1850-1914,0.125,7,4,1.8423709931771086
er,51,1850-1914,0.0625,4,4,2.0
er,52,1850-1914,1.0,56,20,3.9404738962721693
er,52,1850-1914,0.5,28,15,3.753434386188785
er,52,1850-1914,0.25,14,12,3.5216406363433177
er,52,1850-1914,0.125,7,5,2.128085278891394
er,52,1850-1914,0.0625,4,3,1.5
er,53,1850-1914,1.0,56,19,3.816646533303482
er,53,1850-1914,0.5,28,16,3.767375797816041
er,53,1850-1914,0.25,14,10,3.235926350629032
er,53,1850-1914,0.125,7,5,2.2359263506290326
er,53,1850-1914,0.0625,4,3,1.5
er,54,1850-1914,1.0,56,20,4.045086227520807
er,54,1850-1914,0.5,28,17,3.878783493486175
er,54,1850-1914,0.25,14,9,2.985228136034251
er,54,1850-1914,0.125,7,7,2.8073549220576037
er,54,1850-1914,0.0625,4,4,2.0
er,55,1850-1914,1.0,56,23,4.237885003987412
er,55,1850-1914,0.5,28,16,3.797902689682947
er,55,1850-1914,0.25,14,12,3.5216406363433177
er,55,1850-1914,0.125,7,7,2.8073549220576037
er,55,1850-1914,0.0625,4,4,2.0
er,56,1850-1914,1.0,56,23,3.9277409762329363
er,56,1850-1914,0.5,28,17,3.9407598325400897
er,56,1850-1914,0.25,14,13,3.6644977792004605
er,56,1850-1914,0.125,7,4,1.8423709931771086
er,56,1850-1914,0.0625,4,4,2.0
er,57,1850-1914,1.0,56,25,4.296119377716699
er,57,1850-1914,0.5,28,16,3.6230242271029556
er,57,1850-1914,0.25,14,11,3.3248629576173565
er,57,1850-1914,0.125,7,7,2.8073549220576037
er,57,1850-1914,0.0625,4,3,1.5
er,58,1850-1914,1.0,56,22,4.039609949563122
er,58,1850-1914,0.5,28,18,4.012188403968661
er,58,1850-1914,0.25,14,11,3.378783493486175
er,58,1850-1914,0.125,7,7,2.8073549220576037
er,58,1850-1914,0.0625,4,3,1.5
er,59,1850-1914,1.0,56,22,4.06582300356956
er,59,1850-1914,0.5,28,15,3.507127352180222
er,59,1850-1914,0.25,14,9,3.039148671903071
er,59,1850-1914,0.125,7,5,2.2359263506290326
er,59,1850-1914,0.0625,4,4,2.0
er,60,1850-1914,1.0,56,22,3.9871377900594402
er,60,1850-1914,0.5,28,16,3.767375797816041
er,60,1850-1914,0.25,14,12,3.467720100474499
er,60,1850-1914,0.125,7,5,2.128085278891394
er,60,1850-1914,0.0625,4,4,2.0
er,61,1850-1914,1.0,56,22,4.039324013295202
er,61,1850-1914,0.5,28,13,3.3248629576173565
er,61,1850-1914,0.25,14,10,3.235926350629032
er,61,1850-1914,0.125,7,6,2.521640636343318
er,61,1850-1914,0.0625,4,3,1.5
er,62,1850-1914,1.0,56,16,3.3231228736291247
er,62,1850-1914,0.5,28,17,3.923251796980337
er,62,1850-1914,0.25,14,11,3.378783493486175
er,62,1850-1914,0.125,7,6,2.521640636343318
er,62,1850-1914,0.0625,4,4,2.0
er,63,1850-1914,1.0,56,23,4.2404155298816315
er,63,1850-1914,0.5,28,15,3.526129815595918
er,63,1850-1914,0.25,14,12,3.467720100474499
er,63,1850-1914,0.125,7,5,2.128085278891394
er,63,1850-1914,0.0625,4,3,1.5
er,64,1850-1914,1.0,56,21,4.037365359936822
er,64,1850-1914,0.5,28,17,3.8388043692446128
er,64,1850-1914,0.25,14,13,3.6644977792004605
er,64,1850-1914,0.125,7,5,2.2359263506290326
er,64,1850-1914,0.0625,4,4,2.0
er,65,1850-1914,1.0,56,21,3.9746908062881268
er,65,1850-1914,0.5,28,15,3.753434386188785
er,65,1850-1914,0.25,14,9,2.896291529045928
er,65,1850-1914,0.125,7,7,2.8073549220576037
er,65,1850-1914,0.0625,4,4,2.0
er,66,1850-1914,1.0,56,23,4.293176573495617
er,66,1850-1914,0.5,28,15,3.664497779200461
er,66,1850-1914,0.25,14,10,3.1820058147602133
er,66,1850-1914,0.125,7,7,2.8073549220576037
er,66,1850-1914,0.0625,4,4,2.0
er,67,1850-1914,1.0,56,24,4.264845271921822
er,67,1850-1914,0.5,28,11,3.226474118254375
er,67,1850-1914,0.25,14,11,3.235926350629033
er,67,1850-1914,0.125,7,5,2.2359263506290326
er,67,1850-1914,0.0625,4,3,1.5
er,68,1850-1914,1.0,56,23,4.165995154898788
er,68,1850-1914,0.5,28,16,3.7404155298816315
er,68,1850-1914,0.25,14,9,3.039148671903071
er,68,1850-1914,0.125,7,5,2.2359263506290326
er,68,1850-1914,0.0625,4,4,2.0
er,69,1850-1914,1.0,56,20,3.9245366043743104
er,69,1850-1914,0.5,28,12,3.2389211020256883
er,69,1850-1914,0.25,14,11,3.378783493486175
er,69,1850-1914,0.125,7,6,2.521640636343318
er,69,1850-1914,0.0625,4,4,2.0
er,70,1850-1914,1.0,56,19,4.000617924026645
er,70,1850-1914,0.5,28,20,4.1644977792004605
er,70,1850-1914,0.25,14,11,3.378783493486175
er,70,1850-1914,0.125,7,6,2.521640636343318
er,70,1850-1914,0.0625,4,3,1.5
er,71,1850-1914,1.0,56,23,4.0024746039564585
er,71,1850-1914,0.5,28,16,3.699513850319965
er,71,1850-1914,0.25,14,11,3.378783493486175
er,71,1850-1914,0.125,7,6,2.521640636343318
er,71,1850-1914,0.0625,4,4,2.0
er,72,1850-1914,1.0,56,26,4.3358125656903415
er,72,1850-1914,0.5,28,16,3.6230242271029556
er,72,1850-1914,0.25,14,10,3.235926350629032
er,72,1850-1914,0.125,7,5,2.2359263506290326
er,72,1850-1914,0.0625,4,3,1.5
er,73,1850-1914,1.0,56,22,3.854529092838117
er,73,1850-1914,0.5,28,15,3.4946803684089085
er,73,1850-1914,0.25,14,12,3.5216406363433177
er,73,1850-1914,0.125,7,5,2.2359263506290326
er,73,1850-1914,0.0625,4,4,2.0
er,74,1850-1914,1.0,56,21,4.088518432976692
er,74,1850-1914,0.5,28,14,3.333743317456174
er,74,1850-1914,0.25,14,10,3.1820058147602133
er,74,1850-1914,0.125,7,5,2.2359263506290326
er,74,1850-1914,0.0625,4,3,1.5
er,75,1850-1914,1.0,56,20,3.837844587012286
er,75,1850-1914,0.5,28,14,3.3912304772574884
er,75,1850-1914,0.25,14,9,2.9502120649147474
er,75,1850-1914,0.125,7,7,2.8073549220576037
er,75,1850-1914,0.0625,4,4,2.0
er,76,1850-1914,1.0,56,23,4.226935395914427
er,76,1850-1914,0.5,28,15,3.6820058147602133
er,76,1850-1914,0.25,14,10,3.235926350629032
er,76,1850-1914,0.125,7,6,2.521640636343318
er,76,1850-1914,0.0625,4,3,1.5
er,77,1850-1914,1.0,56,18,3.642487968178703
er,77,1850-1914,0.5,28,13,3.253434386188785
er,77,1850-1914,0.25,14,9,2.896291529045928
er,77,1850-1914,0.125,7,5,2.2359263506290326
er,77,1850-1914,0.0625,4,4,2.0
er,78,1850-1914,1.0,56,26,4.360577243331641
er,78,1850-1914,0.5,28,20,4.182005814760213
er,78,1850-1914,0.25,14,11,3.3248629576173565
er,78,1850-1914,0.125,7,5,2.2359263506290326
er,78,1850-1914,0.0625,4,3,1.5
er,79,1850-1914,1.0,56,20,3.9616719499809743
er,79,1850-1914,0.5,28,17,3.8518232255517657
er,79,1850-1914,0.25,14,8,2.6644977792004614
er,79,1850-1914,0.125,7,5,2.2359263506290326
er,79,1850-1914,0.0625,4,4,2.0
er,80,1850-1914,1.0,56,20,4.049400065381274
er,80,1850-1914,0.5,28,17,3.8388043692446128
er,80,1850-1914,0.25,14,11,3.378783493486175
er,80,1850-1914,0.125,7,7,2.8073549220576037
er,80,1850-1914,0.0625,4,3,1.5
er,81,1850-1914,1.0,56,21,3.877125496659068
er,81,1850-1914,0.5,28,19,4.021640636343318
er,81,1850-1914,0.25,14,9,2.9502120649147474
er,81,1850-1914,0.125,7,6,2.521640636343318
er,81,1850-1914,0.0625,4,4,2.0
er,82,1850-1914,1.0,56,20,3.6095440931357503
er,82,1850-1914,0.5,28,15,3.534087620114631
er,82,1850-1914,0.25,14,9,2.9502120649147474
er,82,1850-1914,0.125,7,4,1.950212064914747
er,82,1850-1914,0.0625,4,3,1.5
er,83,1850-1914,1.0,56,23,4.131489360772526
er,83,1850-1914,0.5,28,13,3.5086217800361656
er,83,1850-1914,0.25,14,10,3.128085278891394
er,83,1850-1914,0.125,7,6,2.521640636343318
er,83,1850-1914,0.0625,4,3,1.5
er,84,1850-1914,1.0,56,21,3.7742942742387457
er,84,1850-1914,0.5,28,17,3.923251796980337
er,84,1850-1914,0.25,14,11,3.378783493486175
er,84,1850-1914,0.125,7,6,2.521640636343318
er,84,1850-1914,0.0625,4,4,2.0
er,85,1850-1914,1.0,56,21,4.0114901893738795
er,85,1850-1914,0.5,28,13,3.458267868099842
er,85,1850-1914,0.25,14,11,3.378783493486175
er,85,1850-1914,0.125,7,5,2.128085278891394
er,85,1850-1914,0.0625,4,3,1.5
er,86,1850-1914,1.0,56,23,4.0053440402139735
er,86,1850-1914,0.5,28,17,3.9407598325400897
er,86,1850-1914,0.25,14,9,2.985228136034251
er,86,1850-1914,0.125,7,4,1.8423709931771086
er,86,1850-1914,0.0625,4,4,2.0
er,87,1850-1914,1.0,56,24,4.226474118254376
er,87,1850-1914,0.5,28,15,3.610577243331642
er,87,1850-1914,0.25,14,12,3.5216406363433177
er,87,1850-1914,0.125,7,7,2.8073549220576037
er,87,1850-1914,0.0625,4,4,2.0
er,88,1850-1914,1.0,56,22,4.118009226805322
er,88,1850-1914,0.5,28,17,3.82129633368486
er,88,1850-1914,0.25,14,10,3.1820058147602133
er,88,1850-1914,0.125,7,6,2.521640636343318
er,88,1850-1914,0.0625,4,4,2.0
er,89,1850-1914,1.0,56,25,4.246226743440427
er,89,1850-1914,0.5,28,18,3.964153476542003
er,89,1850-1914,0.25,14,10,3.1820058147602133
er,89,1850-1914,0.125,7,6,2.521640636343318
er,89,1850-1914,0.0625,4,4,2.0
er,90,1850-1914,1.0,56,23,4.190061617945307
er,90,1850-1914,0.5,28,17,3.923251796980337
er,90,1850-1914,0.25,14,10,3.235926350629032
er,90,1850-1914,0.125,7,7,2.8073549220576037
er,90,1850-1914,0.0625,4,4,2.0
er,91,1850-1914,1.0,56,22,4.067606315535808
er,91,1850-1914,0.5,28,17,3.8962915290459277
er,91,1850-1914,0.25,14,8,2.753434386188785
er,91,1850-1914,0.125,7,4,1.8423709931771086
er,91,1850-1914,0.0625,4,4,2.0
er,92,1850-1914,1.0,56,23,4.059495031938826
er,92,1850-1914,0.5,28,19,4.110577243331642
er,92,1850-1914,0.25,14,10,3.1820058147602133
er,92,1850-1914,0.125,7,6,2.521640636343318
er,92,1850-1914,0.0625,4,4,2.0
er,93,1850-1914,1.0,56,22,3.986283148544007
er,93,1850-1914,0.5,28,16,3.6499844950373648
er,93,1850-1914,0.25,14,9,2.985228136034251
er,93,1850-1914,0.125,7,6,2.521640636343318
er,93,1850-1914,0.0625,4,2,1.0
er,94,1850-1914,1.0,56,24,4.376301966925146
er,94,1850-1914,0.5,28,15,3.5836169753972325
er,94,1850-1914,0.25,14,7,2.4956029237290127
er,94,1850-1914,0.125,7,4,1.8423709931771086
er,94,1850-1914,0.0625,4,3,1.5
er,95,1850-1914,1.0,56,21,3.9047596105578837
er,95,1850-1914,0.5,28,15,3.4766004603133167
er,95,1850-1914,0.25,14,10,3.09306920777189
er,95,1850-1914,0.125,7,5,2.128085278891394
er,95,1850-1914,0.0625,4,4,2.0
er,96,1850-1914,1.0,56,24,4.325324235277408
er,96,1850-1914,0.5,28,17,3.8518232255517657
er,96,1850-1914,0.25,14,8,2.556656707462823
er,96,1850-1914,0.125,7,7,2.8073549220576037
er,96,1850-1914,0.0625,4,3,1.5
er,97,1850-1914,1.0,56,24,4.28886273563515
er,97,1850-1914,0.5,28,18,3.9371932086075936
er,97,1850-1914,0.25,14,9,2.9502120649147474
er,97,1850-1914,0.125,7,6,2.521640636343318
er,97,1850-1914,0.0625,4,4,2.0
er,98,1850-1914,1.0,56,21,3.923427138372469
er,98,1850-1914,0.5,28,15,3.534087620114631
er,98,1850-1914,0.25,14,13,3.6644977792004605
er,98,1850-1914,0.125,7,6,2.521640636343318
er,98,1850-1914,0.0625,4,4,2.0
er,99,1850-1914,1.0,56,25,4.214491359985499
er,99,1850-1914,0.5,28,13,3.3962915290459277
er,99,1850-1914,0.25,14,10,3.1820058147602133
er,99,1850-1914,0.125,7,6,2.521640636343318
er,99,1850-1914,0.0625,4,3,1.5
er,100,1850-1914,1.0,56,19,3.909947004405264
er,100,1850-1914,0.5,28,14,3.408738512817241
er,100,1850-1914,0.25,14,11,3.378783493486175
er,100,1850-1914,0.125,7,6,2.521640636343318
er,100,1850-1914,0.0625,4,4,2.0
heit,1,1482-1549,1.0,186,36,4.1033878833190345
heit,1,1482-1549,0.5,93,35,4.504305852733467
heit,1,1482-1549,0.25,47,18,3.4074749869327876
heit,1,1482-1549,0.125,24,15,3.601227480952956
heit,1,1482-1549,0.0625,12,6,2.4182958340544896
heit,2,1482-1549,1.0,186,36,3.8101267361778057
heit,2,1482-1549,0.5,93,28,3.9924203250756274
heit,2,1482-1549,0.25,47,20,3.659723957508241
heit,2,1482-1549,0.125,24,12,3.1735332098491886
heit,2,1482-1549,0.0625,12,8,2.855388542207534
heit,3,1482-1549,1.0,186,36,4.2857119142583056
heit,3,1482-1549,0.5,93,27,3.8912047297555263
heit,3,1482-1549,0.25,47,20,3.7301504269573296
heit,3,1482-1549,0.125,24,13,3.355388542207534
heit,3,1482-1549,0.0625,12,7,2.2924812503605785
heit,4,1482-1549,1.0,186,38,4.233306818282489
heit,4,1482-1549,0.5,93,23,3.52653978709825
heit,4,1482-1549,0.25,47,21,3.591510926007629
heit,4,1482-1549,0.125,24,13,3.3180303358642114
heit,4,1482-1549,0.0625,12,8,2.751629167387823
heit,5,1482-1549,1.0,186,34,3.6251578041610544
heit,5,1482-1549,0.5,93,28,3.8337901500690275
heit,5,1482-1549,0.25,47,23,4.015899270581878
heit,5,1482-1549,0.125,24,14,3.401363669197544
heit,5,1482-1549,0.0625,12,8,2.751629167387823
heit,6,1482-1549,1.0,186,41,4.2104200641033165
heit,6,1482-1549,0.5,93,30,4.08839501392367
heit,6,1482-1549,0.25,47,19,3.562769886993358
heit,6,1482-1549,0.125,24,15,3.653107168362812
heit,6,1482-1549,0.0625,12,7,2.625814583693912
heit,7,1482-1549,1.0,186,40,4.299226449345025
heit,7,1482-1549,0.5,93,28,3.775026642773664
heit,7,1482-1549,0.25,47,19,3.5447116523683473
heit,7,1482-1549,0.125,24,16,3.6572682296173893
heit,7,1482-1549,0.0625,12,8,2.855388542207534
heit,8,1482-1549,1.0,186,37,3.973289676836914
heit,8,1482-1549,0.5,93,26,3.548417246727197
heit,8,1482-1549,0.25,47,22,4.045318703389393
heit,8,1482-1549,0.125,24,12,2.832723008845728
heit,8,1482-1549,0.0625,12,8,2.751629167387823
heit,9,1482-1549,1.0,186,40,4.090621701423403
heit,9,1482-1549,0.5,93,29,3.8038470932801904
heit,9,1482-1549,0.25,47,22,3.868240320482289
heit,9,1482-1549,0.125,24,14,3.3349625007211565
heit,9,1482-1549,0.0625,12,7,2.584962500721157
heit,10,1482-1549,1.0,186,35,4.081880250783071
heit,10,1482-1549,0.5,93,28,3.7929525597701232
heit,10,1482-1549,0.25,47,20,3.697844685835842
heit,10,1482-1549,0.125,24,13,3.114786979256811
heit,10,1482-1549,0.0625,12,7,2.2924812503605785
heit,11,1482-1549,1.0,186,35,4.136163377976779
heit,11,1482-1549,0.5,93,29,3.880979037962327
heit,11,1482-1549,0.25,47,19,3.7301504269573305
heit,11,1482-1549,0.125,24,10,2.780672129520887
heit,11,1482-1549,0.0625,12,7,2.4508257945180887
heit,12,1482-1549,1.0,186,37,3.911867956039326
heit,12,1482-1549,0.5,93,30,4.161575770215823
heit,12,1482-1549,0.25,47,18,3.4682514812314684
heit,12,1482-1549,0.125,24,12,3.2032433566073992
heit,12,1482-1549,0.0625,12,8,2.751629167387823
heit,13,1482-1549,1.0,186,41,4.11561317193242
heit,13,1482-1549,0.5,93,29,4.039959980025926
heit,13,1482-1549,0.25,47,15,2.8745546948602105
heit,13,1482-1549,0.125,24,13,3.2201755214643444
heit,13,1482-1549,0.0625,12,6,2.355388542207534
heit,14,1482-1549,1.0,186,35,4.031031573731353
heit,14,1482-1549,0.5,93,24,3.7962743581919054
heit,14,1482-1549,0.25,47,18,3.520178838606414
heit,14,1482-1549,0.125,24,11,2.9701755214643453
heit,14,1482-1549,0.0625,12,7,2.584962500721157
heit,15,1482-1549,1.0,186,35,3.9964502180102306
heit,15,1482-1549,0.5,93,27,3.8167093875013665
heit,15,1482-1549,0.25,47,18,3.339448336444016
heit,15,1482-1549,0.125,24,12,3.0314536459234773
heit,15,1482-1549,0.0625,12,7,2.4508257945180887
heit,16,1482-1549,1.0,186,41,4.243747161049712
heit,16,1482-1549,0.5,93,27,3.8066203998343493
heit,16,1482-1549,0.25,47,21,3.8438733624455517
heit,16,1482-1549,0.125,24,16,3.8035088547976788
heit,16,1482-1549,0.0625,12,6,2.4182958340544896
heit,17,1482-1549,1.0,186,37,4.139906770429581
heit,17,1482-1549,0.5,93,30,3.8661117709252912
heit,17,1482-1549,0.25,47,15,3.3549276179488254
heit,17,1482-1549,0.125,24,15,3.653107168362812
heit,17,1482-1549,0.0625,12,8,2.855388542207534
heit,18,1482-1549,1.0,186,34,3.8965460020641527
heit,18,1482-1549,0.5,93,31,4.04554221275326
heit,18,1482-1549,0.25,47,18,3.4905520242160524
heit,18,1482-1549,0.125,24,14,3.4508257945180882
heit,18,1482-1549,0.0625,12,8,2.617492461184755
heit,19,1482-1549,1.0,186,37,4.021632247909762
heit,19,1482-1549,0.5,93,31,3.9532868577288443
heit,19,1482-1549,0.25,47,21,3.7814407597594557
heit,19,1482-1549,0.125,24,12,2.979573958513622
