bigraph,freq,propn
tg,24842,1.849643354924506e-06
th,10120644,0.0007535456856193773
ti,21827695,0.001625209363580584
tl,155181,1.1554202779991134e-05
tm,595125,4.431080434745377e-05
to,26376640,0.0019639069680877515
tr,23081912,0.0017185937182896793
ts,10906948,0.0008120909705622386
tt,26653554,0.001984524959392218
tu,10530051,0.0007840286152148035
tw,11871931,0.0008839400323755029
ty,1626099,0.00012107331172205878
tz,38604949,0.0028743815870320203
tä,867099,6.45609815397989e-05
té,23318,1.736171956771984e-06
tö,439047,3.268981426815633e-05
tü,4577856,0.0003408502105386555
ua,1294217,9.636260662910914e-05
ub,3810712,0.00028373150826548077
uc,102070891,0.007599820677456467
ud,3742116,0.0002786241040478493
ue,4672994,0.00034793383381781203
uf,95399515,0.007103094717928135
ug,7809028,0.0005814313158610178
uh,8239290,0.0006134670315512411
ui,721110,5.369118105102691e-05
uj,28520,2.123493618969765e-06
uk,2646027,0.000197013374828952
ul,8068844,0.0006007762533822748
um,45630190,0.003397455024452244
un,388974200,0.028961578949644785
uo,408071,3.0383455981297724e-05
up,4195731,0.0003123985976652746
ur,83582490,0.006223242783050639
us,63880289,0.004756289834131995
ut,73583206,0.005478733113756583
uv,268887,2.002033060041807e-05
uw,39633,2.9509264586475703e-06
ux,138658,1.0323961368131476e-05
uz,920377,6.852786418466114e-05
uß,5335082,0.00039723045524826274
uä,32608,2.427870965195165e-06
va,3111323,0.0002316575924633193
vd,758950,5.6508607367359865e-05
ve,4903403,0.0003650892349837729
vi,11402773,0.0008490082645182584
vl,14465,1.077010350574953e-06
vo,132663915,0.009877663989132094
vu,160610,1.1958426021834993e-05
wa,60619078,0.004513472136074
we,125859628,0.009371041968580239
wh,61407,4.572137891307026e-06
wi,77137391,0.00574336457126493
wj,22596,1.6824145096157368e-06
wn,55453,4.128825093012987e-06
wo,25722623,0.0019152112834384615
wr,31117,2.3168566248766545e-06
ws,241049,1.7947616176684535e-05
wu,3117728,0.00023213448505201152
wä,5720535,0.0004259298586813887
wö,11839,8.814881120260537e-07
wü,828462,6.168421355395966e-05
xa,405193,3.016917075565274e-05
xe,359101,2.6737331068220956e-05
xi,1547252,0.00011520265599362578
xk,23809,1.7727299990901523e-06
xo,38320,2.8531653393731208e-06
xp,1108359,8.25243079953615e-05
xq,23046,1.715919843715891e-06
xt,5001844,0.0003724187874152246
xu,166138,1.2370020437180885e-05
xy,150121,1.1177453912109402e-05
xz,16306,1.2140843951935832e-06
ya,82200,6.120307695628145e-06
yb,76828,5.720328462770306e-06
yc,104693,7.795053206549847e-06
ye,75968,5.656296046490012e-06
yg,67768,5.045754402887204e-06
yk,132586,9.871862726673398e-06
yl,293053,2.181964149789434e-05
ym,986790,7.347273030375787e-05
yn,393705,2.9313816804224804e-05
yo,240661,1.79187271330604e-05
yp,1160363,8.639633331657132e-05
yr,158009,1.1764765190736103e-05
ys,2506028,0.00018658956756520206
yt,429815,3.200243372501717e-05
za,3404196,0.0002534638318275736
zd,17374,1.2936037214579488e-06
ze,31998790,0.0023825114438903766
zi,9635139,0.0007173967806587211
zl,51899,3.8642074099197705e-06
zo,1316680,9.803511845109083e-05
zt,23900704,0.0017795579394419756
zu,117905158,0.008778781579825454
zw,14456649,0.0010763885660303519
zy,191236,1.4238724604393479e-05
zz,536012,3.990946920375953e-05
zä,218097,1.6238695224980676e-05
zö,97688,7.2734868390574484e-06
zü,89348,6.652521313734593e-06
ße,8170843,0.0006083707213220117
äb,14182,1.055939218240856e-06
äc,988274,7.358322344999038e-05
äd,479668,3.571430354922824e-05
äe,46071,3.4302761051737748e-06
äf,139260,1.0368784059527682e-05
äg,293142,2.1826268108416372e-05
äh,5728871,0.0004265505263815196
äk,24759,1.8434634821904775e-06
äl,1234193,9.18934417979366e-05
äm,638271,4.752329578097655e-05
än,2628280,0.00019569199890833992
äo,12979,9.66368291746444e-07
äq,137889,1.0266704474969213e-05
är,3602570,0.0002682340254870935
äs,1311477,9.764772233259505e-05
ät,5295607,0.0003942912928846992
äu,540160,4.021831392786495e-05
äz,228900,1.7043046612278374e-05
äß,648913,4.831565970429619e-05
ém,89656,6.6754538535186985e-06
ën,16337,1.2163925404315937e-06
öb,299485,2.2298544406632543e-05
öc,42476,3.1626057138625437e-06
öd,652142,4.8556079090539294e-05
öf,704087,5.242371149016708e-05
ög,102185,7.608316811164988e-06
öh,1943017,0.0001446698527717313
ök,56144,4.1802743949312235e-06
öl,879417,6.547813421856711e-05
ön,13927456,0.0010369868143226568
öp,32013,2.383569467884961e-06
ör,1769584,0.00013175667364063792
ös,1738197,0.00012941971381530117
öt,340430,2.5347157528256562e-05
öw,219417,1.6336977538341127e-05
öz,51082,3.8033766144534904e-06
öß,1182785,8.806579243033499e-05
üb,30502065,0.002271070841265814
üc,9970162,0.0007423413529836898
üd,993048,7.393867781664402e-05
üf,489574,3.645186763721963e-05
üg,628738,4.681350389213928e-05
üh,6072235,0.00045211613868810914
ük,40083,2.9844317927477246e-06
ül,807314,6.0109611763848425e-05
üm,529517,3.942587554824731e-05
ün,3325725,0.0002476211716671887
üp,114502,8.525395033635205e-06
ür,94751289,0.007054830209700565
üs,2741312,0.00020410794318391463
üt,1602616,0.00011932485447611673
üß,617211,4.595524614508933e-05
