lemma,unique_candidates,pos,lemma_freq,base_freq
Unterverzeichnis,unterverzeichnen,VVINF,776,0
Wagnis,wag,ADJ.,926,0
Wagnis,wagen,VVINF,926,5353
Wagnis,wagnen,VVINF,926,0
Arbeitsverhältnis,arbeitsverhalt,ADJ.,7836,0
Arbeitsverhältnis,arbeitsverhalten,VVINF,7836,0
Fäulnis,faul,ADJ.,341,9404
Fäulnis,faulen,VVINF,341,121
Armanis,arma,ADJ.,7,0
Armanis,armaen,VVINF,7,0
Zeitersparnis,zeiterspar,ADJ.,657,0
Zeitersparnis,zeitersparen,VVINF,657,0
Bewandtnis,bewandt,ADJ.,127,26
Bewandtnis,bewandten,VVINF,127,0
Zerwürfnis,zerwürf,ADJ.,343,0
Zerwürfnis,zerwürfen,VVINF,343,0
Zwischenzeugnis,zwischenzeug,ADJ.,204,0
Zwischenzeugnis,zwischenzeugen,VVINF,204,0
Zwischenzeugnis,zwischenzeugnen,VVINF,204,0
Spielverständnis,spielversteh,ADJ.,177,0
Spielverständnis,spielverstehen,VVINF,177,0
Naturerlebnis,naturerleb,ADJ.,874,0
Naturerlebnis,naturerleben,VVINF,874,0
Agrarbündnis,agrarbünd,ADJ.,20,0
Agrarbündnis,agrarbünden,VVINF,20,0
Verderbnis,verderb,ADJ.,164,0
Verderbnis,verderben,VVINF,164,1559
Wirrnis,wirr,ADJ.,109,2645
Wirrnis,wirren,VVINF,109,0
Nebenergebnis,nebenergeb,ADJ.,8,0
Nebenergebnis,nebenergeben,VVINF,8,0
Linksbündnis,linksbünd,ADJ.,98,0
Linksbündnis,linksbünden,VVINF,98,0
Lohnverhältnis,lohnverhalt,ADJ.,32,0
Lohnverhältnis,lohnverhalten,VVINF,32,0
Bitternis,bitter,ADJ.,69,10840
Bitternis,bittern,VVINF,69,0
Bitternis,bitteren,VVINF,69,0
Tyrannis,tyran,ADJ.,84,0
Tyrannis,tyranen,VVINF,84,0
Binnenverhältnis,binnenverhalt,ADJ.,13,0
Binnenverhältnis,binnenverhalten,VVINF,13,0
Leinölfirnis,leinölfir,ADJ.,31,0
Leinölfirnis,leinölfiren,VVINF,31,0
Gruppenerlebnis,gruppenerleb,ADJ.,61,0
Gruppenerlebnis,gruppenerleben,VVINF,61,0
Ornis,or,ADJ.,25,0
Ornis,oren,VVINF,25,0
Firnis,fir,ADJ.,122,0
Firnis,firen,VVINF,122,0
Militärbündnis,militarbünd,ADJ.,141,0
Militärbündnis,militarbünden,VVINF,141,0
Begängnis,begang,ADJ.,6,0
Begängnis,begangen,VVINF,6,0
Begängnis,begangnen,VVINF,6,0
Beduerfnis,beduerf,ADJ.,0,0
Beduerfnis,beduerfen,VVINF,0,0
Testergebnis,testergeb,ADJ.,1691,0
Testergebnis,testergeben,VVINF,1691,0
Sachkenntnis,sachkenn,ADJ.,866,0
Sachkenntnis,sachkennen,VVINF,866,0
Eigentumsverhältnis,eigentumsverhalt,ADJ.,394,0
Eigentumsverhältnis,eigentumsverhalten,VVINF,394,0
Beschwernis,beschwer,ADJ.,63,0
Beschwernis,beschwern,VVINF,63,0
Beschwernis,beschweren,VVINF,63,3111
Finis,fi,ADJ.,58,0
Finis,fien,VVINF,58,0
Hörerlebnis,hörerleb,ADJ.,283,0
Hörerlebnis,hörerleben,VVINF,283,0
Grundverständnis,grundversteh,ADJ.,359,0
Grundverständnis,grundverstehen,VVINF,359,0
Lichtverhältnis,lichtverhalt,ADJ.,1243,0
Lichtverhältnis,lichtverhalten,VVINF,1243,0
Entscheidungsbefugnis,entscheidungsbefug,ADJ.,245,0
Entscheidungsbefugnis,entscheidungsbefugen,VVINF,245,0
Entscheidungsbefugnis,entscheidungsbefugnen,VVINF,245,0
Islamverständnis,islamversteh,ADJ.,6,0
Islamverständnis,islamverstehen,VVINF,6,0
Spielerlebnis,spielerleb,ADJ.,401,0
Spielerlebnis,spielerleben,VVINF,401,0
Musikerlebnis,musikerleb,ADJ.,110,0
Musikerlebnis,musikerleben,VVINF,110,0
Medienereignis,medienereig,ADJ.,127,0
Medienereignis,medienereigen,VVINF,127,0
Medienereignis,medienereignen,VVINF,127,0
Schlüsselerlebnis,schlüsselerleb,ADJ.,255,0
Schlüsselerlebnis,schlüsselerleben,VVINF,255,0
Zwischenergebnis,zwischenergeb,ADJ.,638,0
Zwischenergebnis,zwischenergeben,VVINF,638,0
Suchergebnis,suchergeb,ADJ.,3210,0
Suchergebnis,suchergeben,VVINF,3210,0
Urereignis,urereig,ADJ.,10,0
Urereignis,urereigen,VVINF,10,0
Urereignis,urereignen,VVINF,10,0
Inhaltsverzeichnis,inhaltsverzeich,ADJ.,2756,0
Inhaltsverzeichnis,inhaltsverzeichen,VVINF,2756,0
Inhaltsverzeichnis,inhaltsverzeichnen,VVINF,2756,0
