lemma,unique_candidates,pos,lemma_freq,base_freq
Trivialität,trivial,ADJ.,149,1720
Trivialität,triviell,ADJ.,149,0
Invalidität,invalid,ADJ.,424,0
Validität,valid,ADJ.,391,0
Spiritualität,spiritual,ADJ.,2865,45
Spiritualität,spirituell,ADJ.,2865,7883
Viskosität,viskos,ADJ.,488,121
Selektivität,selektiv,ADJ.,229,2654
Vulgarität,vulgar,ADJ.,25,0
Nationalität,national,ADJ.,2736,40036
Nationalität,nationell,ADJ.,2736,5
Servicequalität,servicequal,ADJ.,506,0
Servicequalität,servicequell,ADJ.,506,0
Modernität,modern,ADJ.,573,82878
Urbanität,urban,ADJ.,334,3487
Sterilität,steril,ADJ.,202,1813
Inaktivität,inaktiv,ADJ.,333,1567
Territorialität,territorial,ADJ.,17,1354
Territorialität,territoriell,ADJ.,17,0
Plastizität,plastiz,ADJ.,345,0
Plastizität,plastisch,ADJ.,345,3484
Neutralität,neutral,ADJ.,1646,12362
Neutralität,neutrell,ADJ.,1646,0
Monstrosität,monstros,ADJ.,82,0
Moralität,moral,ADJ.,230,0
Moralität,morell,ADJ.,230,0
Quantität,quant,ADJ.,1839,0
Rentabilität,rentabil,ADJ.,682,0
Rentabilität,rentabel,ADJ.,682,1292
Kommunität,kommun,ADJ.,122,0
Trinität,trin,ADJ.,323,0
Rigidität,rigid,ADJ.,57,880
Obszönität,obszön,ADJ.,99,694
Fragilität,fragil,ADJ.,108,1064
Subtilität,subtil,ADJ.,126,3153
Instabilität,instabil,ADJ.,1024,2237
Instabilität,instabel,ADJ.,1024,0
Eventualität,eventual,ADJ.,522,11
Eventualität,eventuell,ADJ.,522,49105
Musikalität,musikal,ADJ.,457,0
Musikalität,musikell,ADJ.,457,0
Parallelität,parallel,ADJ.,319,20003
Kalamität,kalam,ADJ.,51,0
Konformität,konform,ADJ.,405,1569
Skurrilität,skurril,ADJ.,138,2708
Publizität,publiz,ADJ.,156,0
Publizität,publisch,ADJ.,156,0
Seriosität,serios,ADJ.,788,0
Spontaneität,spontane,ADJ.,652,0
Radikalität,radikal,ADJ.,437,10687
Radikalität,radikell,ADJ.,437,0
Novität,nov,ADJ.,128,0
Kollegialität,kollegial,ADJ.,272,1100
Kollegialität,kollegiell,ADJ.,272,0
Prosperität,prosper,ADJ.,225,0
Irregularität,irregular,ADJ.,17,0
Simplizität,simpliz,ADJ.,78,0
Simplizität,simplisch,ADJ.,78,0
Solidität,solid,ADJ.,277,1396
Minorität,minor,ADJ.,183,0
Reziprozität,reziproz,ADJ.,116,0
Labilität,labil,ADJ.,134,931
Labilität,label,ADJ.,134,0
Ambiguität,ambigu,ADJ.,71,0
Personalität,personal,ADJ.,80,2263
Personalität,personell,ADJ.,80,6638
Mortalität,mortal,ADJ.,431,0
Mortalität,mortell,ADJ.,431,0
Affektivität,affektiv,ADJ.,69,546
Nichtlinearität,nichtlinear,ADJ.,68,603
Morbidität,morbid,ADJ.,244,598
Idealität,ideal,ADJ.,83,34401
