lemma,unique_candidates,pos,lemma_freq,base_freq
Kolonie,kolonisch,ADJ.,4348,0
Grafie,graf,ADJ.,1,0
Grafie,grafisch,ADJ.,1,7100
Geometrie,geometr,ADJ.,2321,0
Geometrie,geometrisch,ADJ.,2321,2584
Galerie,galer,ADJ.,13842,0
Galerie,galerisch,ADJ.,13842,0
Legasthenie,legasthen,ADJ.,565,0
Legasthenie,legasthenisch,ADJ.,565,46
Lilie,lil,ADJ.,1040,0
Lilie,lilisch,ADJ.,1040,0
Hegemonie,hegemon,ADJ.,690,0
Hegemonie,hegemonisch,ADJ.,690,5
Sympathie,sympath,ADJ.,4433,0
Sympathie,sympathisch,ADJ.,4433,9916
Arterie,arter,ADJ.,822,0
Arterie,arterisch,ADJ.,822,0
Bakterie,bakter,ADJ.,88,0
Bakterie,bakterisch,ADJ.,88,0
Physiotherapie,physiotherap,ADJ.,1664,0
Physiotherapie,physiotherapisch,ADJ.,1664,0
Chemikalie,chemikal,ADJ.,3249,0
Chemikalie,chemikalisch,ADJ.,3249,0
Boogie,boog,ADJ.,698,0
Boogie,boogisch,ADJ.,698,0
Oldie,old,ADJ.,1468,0
Oldie,oldisch,ADJ.,1468,0
Chronologie,chronolog,ADJ.,1056,0
Chronologie,chronologisch,ADJ.,1056,2575
Galaxie,galax,ADJ.,3426,0
Galaxie,galaxisch,ADJ.,3426,0
Raffinerie,raffiner,ADJ.,635,0
Raffinerie,raffinerisch,ADJ.,635,0
Anthropologie,anthropolog,ADJ.,1502,0
Anthropologie,anthropologisch,ADJ.,1502,1011
Topographie,topograph,ADJ.,771,0
Topographie,topographisch,ADJ.,771,831
Gerontologie,gerontolog,ADJ.,290,0
Gerontologie,gerontologisch,ADJ.,290,71
Philharmonie,philharmon,ADJ.,1244,0
Philharmonie,philharmonisch,ADJ.,1244,364
Laie,la,ADJ.,8607,0
Laie,laisch,ADJ.,8607,0
Apathie,apath,ADJ.,342,0
Apathie,apathisch,ADJ.,342,441
Allergologie,allergolog,ADJ.,230,0
Allergologie,allergologisch,ADJ.,230,107
Petersilie,petersil,ADJ.,2335,0
Petersilie,petersilisch,ADJ.,2335,0
Tautologie,tautolog,ADJ.,191,0
Tautologie,tautologisch,ADJ.,191,110
Kavallerie,kavaller,ADJ.,809,0
Kavallerie,kavallerisch,ADJ.,809,0
Monographie,monograph,ADJ.,973,0
Monographie,monographisch,ADJ.,973,83
Phantasie,phantas,ADJ.,7858,0
Phantasie,phantasisch,ADJ.,7858,0
Karosserie,karosser,ADJ.,2296,0
Karosserie,karosserisch,ADJ.,2296,0
Repressalie,repressal,ADJ.,569,0
Repressalie,repressalisch,ADJ.,569,0
Terminologie,terminolog,ADJ.,1058,0
Terminologie,terminologisch,ADJ.,1058,223
Pneumonie,pneumon,ADJ.,301,0
Pneumonie,pneumonisch,ADJ.,301,0
Tragödie,tragöd,ADJ.,3342,0
Tragödie,tragödisch,ADJ.,3342,0
Nekrophilie,nekrophil,ADJ.,48,39
Nekrophilie,nekrophilisch,ADJ.,48,0
Prämie,präm,ADJ.,5043,0
Prämie,prämisch,ADJ.,5043,0
Historie,histor,ADJ.,3067,0
Historie,historisch,ADJ.,3067,56550
Photographie,photograph,ADJ.,1274,0
Photographie,photographisch,ADJ.,1274,413
Bakterium,bakteri,ADJ.,9470,0
Bakterium,bakteriisch,ADJ.,9470,0
Homöopathie,homöopath,ADJ.,3625,0
Homöopathie,homöopathisch,ADJ.,3625,3398
Synergie,synerg,ADJ.,1610,0
Synergie,synergisch,ADJ.,1610,0
Pathologie,patholog,ADJ.,763,0
Pathologie,pathologisch,ADJ.,763,1547
Telegraphie,telegraph,ADJ.,63,0
Telegraphie,telegraphisch,ADJ.,63,62
Graphie,graph,ADJ.,13,0
Graphie,graphisch,ADJ.,13,4240
Typographie,typograph,ADJ.,235,0
Typographie,typographisch,ADJ.,235,210
Newbie,newb,ADJ.,756,0
Newbie,newbisch,ADJ.,756,0
Epidemie,epidem,ADJ.,941,0
Epidemie,epidemisch,ADJ.,941,161
Realie,real,ADJ.,75,25786
Realie,realisch,ADJ.,75,0
Urologie,urolog,ADJ.,524,0
Urologie,urologisch,ADJ.,524,359
Psychiatrie,psychiatr,ADJ.,3499,0
Psychiatrie,psychiatrisch,ADJ.,3499,3237
Anomalie,anomal,ADJ.,830,93
Anomalie,anomalisch,ADJ.,830,0
Epilepsie,epileps,ADJ.,1390,0
Epilepsie,epilepsisch,ADJ.,1390,0
Pharmazie,pharmaz,ADJ.,765,0
Pharmazie,pharmazisch,ADJ.,765,0
Aporie,apor,ADJ.,136,0
Aporie,aporisch,ADJ.,136,0
Pädiatrie,pädiatr,ADJ.,274,0
Pädiatrie,pädiatrisch,ADJ.,274,362
Smoothie,smooth,ADJ.,223,0
Smoothie,smoothisch,ADJ.,223,0
Plastie,plast,ADJ.,1,0
Plastie,plastisch,ADJ.,1,3484
Ironie,iron,ADJ.,5011,0
Ironie,ironisch,ADJ.,5011,4229
Prüderie,prüder,ADJ.,123,0
Prüderie,prüderisch,ADJ.,123,0
Endoskopie,endoskop,ADJ.,356,0
Endoskopie,endoskopisch,ADJ.,356,518
Neurochirurgie,neurochirurg,ADJ.,347,0
Neurochirurgie,neurochirurgisch,ADJ.,347,163
Gallerie,galler,ADJ.,958,0
Gallerie,gallerisch,ADJ.,958,0
frei,fr,ADJ.,0,0
frei,frisch,ADJ.,0,49723
Biographie,biograph,ADJ.,4819,0
Biographie,biographisch,ADJ.,4819,1784
Euphorie,euphor,ADJ.,2706,0
Euphorie,euphorisch,ADJ.,2706,1644
Kalorie,kalor,ADJ.,3329,0
Kalorie,kalorisch,ADJ.,3329,0
Telemetrie,telemetr,ADJ.,269,0
Telemetrie,telemetrisch,ADJ.,269,52
Kurie,kur,ADJ.,409,0
Kurie,kurisch,ADJ.,409,195
Infanterie,infanter,ADJ.,1481,0
Infanterie,infanterisch,ADJ.,1481,0
Freie,fre,ADJ.,6851,0
Freie,freisch,ADJ.,6851,0
Gastroenterologie,gastroenterolog,ADJ.,258,0
Gastroenterologie,gastroenterologisch,ADJ.,258,0
Borrelie,borrel,ADJ.,230,0
Borrelie,borrelisch,ADJ.,230,0
Fotographie,fotograph,ADJ.,245,0
Fotographie,fotographisch,ADJ.,245,75
