morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-and,http://portal.dielinke-in-sachsen.de/home/3338/567/0/pressemitteilungenlinke.html?scid=9545%26suche=1,4d83bbd499a3e8c5455a9a9e7e6c028fe9ea,37,Stadtverbandes,Stadtverband,Stadt_Verband,Stadt,Verband
-and,http://buchenhofer.homepage.t-online.de/MM6_varn.html,5b39b95aca3a5711989944dd5c3c809982fb,17,Südwand,Südwand,Süd_Wand,Süd,Wand
-and,http://www.der-existenzgruender-steuerberater.de/infothek/private-dienstwagen-nutzung.html,dffeb94e9de5683ee5e8011cc05cf377bd14,45,Gesamtkilometerstand,Gesamtkilometerstand,gesamt_Kilometer_Stand,gesamt,Stand
-and,http://www.hermann-hesse.de/node/4290,d5147c4d18f4c93e63ea07dabf0ddeb27f81,12,Bücherwand,Bücherwand,Buch_+=er_Wand,Buch,Wand
-and,http://www.michelrieth.de/kritik3.htm,d04f4ef510994de7664ebdc0635b52135045,19,Land,Land,_,,
-and,http://www.cardiofitness.de/135c170/Kettler-Kadett.htm?PHPSESSID=1d10c24b3df4c6a550133601669c0ad0,d017cd5dcb90b51886e1d979805b37085ae5,8,Zugwiderstand,Zugwiderstand,Zug_Widerstand,Zug,Widerstand
-and,http://maren.desy.de/hex/ingolf/papers/handel-entw.html,59ca3da954cfb1014fe67fccb54622eb0a9d,149,Länder,Land,_,,
-and,http://www.risknet.de/risknews/exit-aus-einer-ultralockeren-geldpolitik/77dea173ecf46f15ac60a9f7716105da/98,9813c921fa2b92e33f48042ed00e78654aa6,57,Ländern,Land,_,,
-and,http://www.katholisch.de/34279.html,ac609895da732fffed7214f0414be0f5a2f5,12,Land,Land,_,,
-and,"http://www.cottbus.de/buerger/rathaus/rathauszeitung/archiv/rathauszeitung_I_Quartal_2011/rathauszeitung_060111/deutscher_staedtetag_zieht_bilanz_zum_konjunkturpaket_ii_-_staedte_haben_nachhaltig_investiert_und_s,255034711.html",1248b3814439bbe656e49b8c69370f3bf922,16,Ländern,Land,_,,
