morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ie,http://www.dr-knies.de/13.html,8c970b5afe56fddbade1f93dc6c8f3c0d87f,21,Schmerztherapie,Schmerztherapie,Schmerz_Therapie,Schmerz,Therapie
-ie,http://wiki.vorratsdatenspeicherung.de/Slogans_und_Parolen,57e3e2052652aca7778ea575a1b085357906,3,Kategorie,Kategorie,_,,
-ie,http://edoc.hu-berlin.de/habilitationen/lueftner-diana-2004-02-12/HTML/chapter6.html,87841b6ea4225cf4f35231a77e8ebf141932,229,Therapie,Therapie,_,,
-ie,http://www.malteser-lennestadt.de/aktuell/archiv/2010/29_04_Kiga.html,6c9af92766b8f4a0813cced9184491445ecf,6,Theorie,Theorie,_,,
-ie,http://www.art-in.de/sitemap700.htm,fcadc5d6005a499f031b9e0189da383085e5,56,Architekturtheorie,Architekturtheorie,Architektur_Theorie,Architektur,Theorie
-ie,http://www.velikovsky.de/de/vita.html,43e7bcfe4cd5b046b4a8d21d97e70d47d74c,7,Psychiatrie,Psychiatrie,_,,
-ie,http://www.versicherung-news.de/page/14,532e25b0485a1a929f41b31e8dcd0b567e7d,12,Prämie,Prämie,_,,
-ie,http://charlymay.npage.de/surehand_87851149.html,79467ea19471f5f61fb9cddd1dbadeee7dbd,1,Trilogie,Trilogie,_,,
-ie,http://www.telefon-treff.de/archiv/topic/353579-2.html,1386a82ec8987f1e1eb97af4f7e58b659e71,62,Prämien,Prämie,_,,
-ie,http://edoc.hu-berlin.de/dissertationen/steup-andreas-2001-10-18/HTML/steup-ch1.html,c057a82474d0383e8e8d55c4dd48f10ada41,2,Theorien,Theorie,_,,
-ie,http://www.energiewende-erding.de/kved.htm,0c7e127cb7d8ac297a8ea147db81c526ce89,2,Technologien,Technologie,_,,
-ie,http://www.uni-kassel.de/fb01/institute/erziehungswissenschaft/fachgebiete-und-institutsmitglieder/prof-dr-edith-glaser/team/daniela-albert-ma.html,38dfc264c52539450f105000ba7913950a5d,11,Philosophie,Philosophie,_,,
-ie,http://www.telefon-treff.de/archiv/topic/353579-2.html,1386a82ec8987f1e1eb97af4f7e58b659e71,217,Aktien,Aktie,_,,
-ie,http://www.theater-phoenix.at/archiv.php?action=content%26s_id=172,71e2ddc4ea05fe390d27cca984a145c20c63,7,Regie,Regie,_,,
-ie,http://www.demokratie-spiegel.de/deutschland/finanzenwirtschaft/merkelsweltfinanzmarktplan2008.html,76765affdce9cdab7a3aea8635b45b58b418,100,Demokratie,Demokratie,_,,
-ie,http://blog.greenpeace.de/blog/2012/08/13/isbjorn-bei-den-wuppertaler-stadtwerken-fur-kohle-gibts-eben-kohle,bc17828e853d9cca03d027fa7aaf81d19936,517,studie,Studie,_,,
-ie,http://www.dghd.de/veranstaltungskalender-11.html,351f5916397c0e6e3474bd12edbd13438e11,32,Managementstrategie,Managementstrategie,Management_Strategie,Management,Strategie
-ie,http://www.mbdownload.de/Onlinehilfe/vicado/2011/de/allgemein/was-leiste.htm,6518d948e61987b890954e2f4260c7540a57,21,Rasterlinien,Rasterlinie,Raster_Linie,Raster,Linie
-ie,http://www.rubstudent.de/RS6/Forum/archive/index.php/t-7212.html,a96457992a374930884e330ae9b7754d1f19,292,Demokratie,Demokratie,_,,
-ie,http://www.business-wissen.de/artikel/teambuilding-tipps-fuer-nachhaltige-outdoor-trainings,0a91556af2eea046469bfbd584bfecf86daf,39,Strategien,Strategie,_,,
-ie,http://www.bdsab.de,a2a14bab481f5da27723af68a834488f9656,15,Partie,Partie,_,,
-ie,http://www.bewerbung-forum.de/forum/mikrotechnologie-bewerbung-praktikum-fuer-studium-t41663view=previous.html,478330b93681aa19b68e14a0555ddcc313aa,18,Mikrotechnologie,Mikrotechnologie,Mikro_Technologie,Mikro,Technologie
-ie,http://www.socialnet.de/rezensionen/351.php,11da13b0ec80cafea39be952a31ade9a2726,16,Gesundheitssoziologie,Gesundheitssoziologie,Gesundheit_+s_Soziologie,Gesundheit,Soziologie
-ie,http://www.umwelt-online.de/regelwerk/bau/baugb/eag_bau2.htm,bc2ac7d3d44ef04f2874dde8cc3880d05bde,4,Plan-UP-Richtlinie,Plan-UP-Richtlinie,Plan_--_UP_--_Richtlinie,Plan,Richtlinie
-ie,http://www.hessen.datenschutz.de/tb34k07.htm,7547fa11e919d575c5daca3f3a3155bbaa20,50,Eigenregie,Eigenregie,eigen_Regie,eigen,Regie
-ie,http://www.flippermarkt.de/community/forum/archive/index.php/t-30157.html,f3595a90ceec8486ecbdae38327d33f9b8e8,7,Folie,Folie,_,,
-ie,http://www.schulnote.de/Der%20Name%20der%20Rose%20-%20Umberto%20Ecos_5120_hausaufgabe_referat.html,2e32a9f2c647eb316773f3be933bd4d761a4,93,Kurie,Kurie,_,,
-ie,http://www.kommando.streitkraeftebasis.de/portal/a/kdoskb/!ut/p/c4/HYzBDoIwEES_hQ9wFwwx4k0CBxMvelG8mKVtoIG2pF3k4sfbOjN5l8kMvjDa0kcPxNpZmvGJndCnfoMw9e9JOtiUZhk4MJjRwKp65Vcb8JGWUoFwVnEiK8s6cvDEzsPiPM-pWb2PDWiJXV40dV7mfxUx36psm9v1UO2bS31Ph4unwRB21u0EiVHhYsxxO2fZD5Z0UEA!,85d4f84b06a88f1fbff99a238fb76a4e9dce,44,Dokumentarfilm-Serie,Dokumentarfilm-Serie,Dokumentarfilm_--_Serie,Dokumentarfilm,Serie
-ie,http://wieistderfilm.de/american-pie-%E2%80%93-das-klassentreffen,3f4f2626d8ea8df60c2997e947dec28a49ef,15,Trilogie,Trilogie,_,,
-ie,http://www.cyberbloc.de/index.php?/site/v3_comments/runde_3_in_earss_ohrhoerer,c5d5752196dbfba76eaebd669d0836c2a5d6,3,Serie,Serie,_,,
-ie,http://www.imew.de/fileadmin/Dokumente/Volltexte/Tagungen_2009/UN-Konvention_25.06.09/Kurzke-Maasmeier.htm,fb76bab84c3f0f655473c5bbfb61dfd9bcd4,30,Autonomie,Autonomie,_,,
